Treatments,Passage,Time,BT,BV,CD,CH,BU,CS,CA,DP
MS014-CH-CS-DP-BU-BV-BT-CA,2,24,1.314899763,0.002286217,0.002274109,0,0.037100559,0.209739643,0.083651625,0.000548088
BT-BV-MS014-BU-CS-CA-DP,0,0,0.001428571,0.001428571,0.001428571,0,0.001428571,0.001428571,0.001428571,0.001428571
BT-BV-MS014-CH-BU-CA-DP,0,0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0,0.001428571,0.001428571
BT-BV-MS014-CH-BU-CS-CA,0,0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0
BT-BV-MS014-CH-CS-CA-DP,0,0,0.001428571,0.001428571,0.001428571,0.001428571,0,0.001428571,0.001428571,0.001428571
BT-MS014-CH-BU-CS-CA-DP,0,0,0.001428571,0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571
BV-MS014-CH-BU-CS-CA-DP,0,0,0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571
BT-BV-MS014-CH-BU-CS-DP,0,0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0,0.001428571
BT-BV-MS014-BU-CS-CA-DP,0,12,0.660482988,0.047684671,0.637122202,0,0.32357306,0.081338199,0.031466646,0.024665554
BT-BV-MS014-CH-BU-CA-DP,0,12,0.705446161,0.101523539,0.505029948,0.124171297,0.400372035,0,0.01684758,0.041609436
BT-BV-MS014-CH-BU-CS-CA,0,12,0.67275859,0.109200306,0.532152819,0.110516024,0.308445582,0.066236447,0.016856878,0
BT-BV-MS014-CH-CS-CA-DP,0,12,0.914455272,0.093995126,0.600349733,0.084624968,0,0.034549532,0.034007845,0.057850899
BT-MS014-CH-BU-CS-CA-DP,0,12,0.797741266,0,0.442580228,0.107328258,0.533043085,0.023880765,0.013958378,0.062134693
BV-MS014-CH-BU-CS-CA-DP,0,12,0,0.079691265,0.584944448,0.060735792,0.586400653,0.0384099,0.027832369,0.070485587
BT-BV-MS014-CH-BU-CS-DP,0,12,0.701301064,0.081521022,0.461578307,0.084490057,0.414243272,0.029577502,0,0.056622088
BT-BV-MS014-BU-CS-CA-DP,0,24,0.512601042,0.121056219,0.767450672,0,0.222210273,0.116417441,0.107063495,0.026867508
BT-BV-MS014-CH-BU-CA-DP,0,24,0.744873311,0.027299418,0.593813813,0.104757753,0.380907414,0,0.02287947,0.041802164
BT-BV-MS014-CH-BU-CS-CA,0,24,0.617289003,0.025576239,0.623125181,0.088544166,0.215735466,0.079536375,0.042026864,0
BT-BV-MS014-CH-CS-CA-DP,0,24,0.799922337,0.043153535,0.680180568,0.090525061,0,0.056599766,0.05973959,0.064545847
BT-MS014-CH-BU-CS-CA-DP,0,24,0.767546868,0,0.456697659,0.080393679,0.322703459,0.046312235,0.021189204,0.075656897
BV-MS014-CH-BU-CS-CA-DP,0,24,0,0.035295356,0.535175051,0.076885229,0.373051035,0.171465873,0.069321222,0.069972913
BT-BV-MS014-CH-BU-CS-DP,0,24,0.646484496,0.033867402,0.533540194,0.091337932,0.316356906,0.040875598,0,0.043204109
CH-CS,0,0,0,0,0,0.005,0,0.005,0,0
CH-DP,0,0,0,0,0,0.005,0,0,0,0.005
CH-BU,0,0,0,0,0,0.005,0.005,0,0,0
CH-BV,0,0,0,0.005,0,0.005,0,0,0,0
CH-BT,0,0,0.005,0,0,0.005,0,0,0,0
CH-CA,0,0,0,0,0,0.005,0,0,0.005,0
CS-DP,0,0,0,0,0,0,0,0.005,0,0.005
CS-BU,0,0,0,0,0,0,0.005,0.005,0,0
CS-BV,0,0,0,0.005,0,0,0,0.005,0,0
CS-BT,0,0,0.005,0,0,0,0,0.005,0,0
CS-CA,0,0,0,0,0,0,0,0.005,0.005,0
DP-BU,0,0,0,0,0,0,0.005,0,0,0.005
DP-BV,0,0,0,0.005,0,0,0,0,0,0.005
DP-BT,0,0,0.005,0,0,0,0,0,0,0.005
DP-CA,0,0,0,0,0,0,0,0,0.005,0.005
BU-BV,0,0,0,0.005,0,0,0.005,0,0,0
BU-BT,0,0,0.005,0,0,0,0.005,0,0,0
BU-CA,0,0,0,0,0,0,0.005,0,0.005,0
BV-BT,0,0,0.005,0.005,0,0,0,0,0,0
BV-CA,0,0,0,0.005,0,0,0,0,0.005,0
BT-CA,0,0,0.005,0,0,0,0,0,0.005,0
BT-BV-CH-BU-CS-CA-DP,0,0,0.001428571,0.001428571,0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571
CH-CS,0,12,0,0,0,0.319806616,0,0.526860034,0,0
CH-DP,0,12,0,0,0,0.057250103,0,0,0,0.277416585
CH-BU,0,12,0,0,0,0.15348373,1.235182956,0,0,0
CH-BV,0,12,0,0.851890082,0,0.491776636,0,0,0,0
CH-BT,0,12,1.848360128,0,0,0.114973217,0,0,0,0
CH-CA,0,12,0,0,0,0.218695908,0,0,0.082304089,0
CS-DP,0,12,0,0,0,0,0,0.344121404,0,0.145211948
CS-BU,0,12,0,0,0,0,0.882400116,0.742933219,0,0
CS-BV,0,12,0,1.001307491,0,0,0,0.358525845,0,0
CS-BT,0,12,1.974250319,0,0,0,0,0.320583,0,0
CS-CA,0,12,0,0,0,0,0,0.39072319,0.007776807,0
DP-BU,0,12,0,0,0,0,0.724432791,0,0,0.680025524
DP-BV,0,12,0,1.413939791,0,0,0,0,0,0.20789352
DP-BT,0,12,1.941975593,0,0,0,0,0,0,0.067857769
DP-CA,0,12,0,0,0,0,0,0,0.002926229,0.131907108
BU-BV,0,12,0,0.677923254,0,0,0.677910064,0,0,0
BU-BT,0,12,1.237538642,0,0,0,0.413294653,0,0,0
BU-CA,0,12,0,0,0,0,1.230954535,0,0.070045441,0
BV-BT,0,12,1.759245252,0.229921442,0,0,0,0,0,0
BV-CA,0,12,0,1.215768651,0,0,0,0,0.278398007,0
BT-CA,0,12,1.715623174,0,0,0,0,0,0.048043501,0
BT-BV-CH-BU-CS-CA-DP,0,12,1.104770133,0.179777551,0,0.212015752,0.401490514,0.021472142,0.018853547,0.046787036
CH-CS,0,24,0,0,0,0.239503103,0,0.648996918,0,0
CH-DP,0,24,0,0,0,0.046018517,0,0,0,0.291398143
CH-BU,0,24,0,0,0,0.227194306,0.937805652,0,0,0
CH-BV,0,24,0,0.904308544,0,0.357191483,0,0,0,0
CH-BT,0,24,1.238869079,0,0,0.036630937,0,0,0,0
CH-CA,0,24,0,0,0,0.148478455,0,0,0.151354881,0
CS-DP,0,24,0,0,0,0,0,0.189840092,0,0.234493228
CS-BU,0,24,0,0,0,0,0.688211432,0.677121873,0,0
CS-BV,0,24,0,1.018079541,0,0,0,0.145087177,0,0
CS-BT,0,24,1.692240411,0,0,0,0,0.377759618,0,0
CS-CA,0,24,0,0,0,0,0,0.796445552,0.271721073,0
DP-BU,0,24,0,0,0,0,0.36480403,0,0,0.893487665
DP-BV,0,24,0,1.188235427,0,0,0,0,0,0.326731266
DP-BT,0,24,1.870548571,0,0,0,0,0,0,0.06045144
DP-CA,0,24,0,0,0,0,0,0,0.005125868,0.150374126
BU-BV,0,24,0,1.007333068,0,0,0.352166929,0,0,0
BU-BT,0,24,1.211940777,0,0,0,0.354559197,0,0,0
BU-CA,0,24,0,0,0,0,0.939759544,0,0.133907125,0
BV-BT,0,24,1.38862985,0.378203472,0,0,0,0,0,0
BV-CA,0,24,0,1.108138883,0,0,0,0,0.285361094,0
BT-CA,0,24,1.44498783,0,0,0,0,0,0.046512166,0
BT-BV-CH-BU-CS-CA-DP,0,24,1.04351902,0.026561931,0,0.191174923,0.303696177,0.039351074,0.028245874,0.059284295
