Param name,Param value,Param stdv,Param p-value,CA,BT,BU,CS,CD,DP,CH,BV,CA*CA,CA*BT,CA*BU,CA*CS,CA*CD,CA*DP,CA*CH,CA*BV,BT*CA,BT*BT,BT*BU,BT*CS,BT*CD,BT*DP,BT*CH,BT*BV,BU*CA,BU*BT,BU*BU,BU*CS,BU*CD,BU*DP,BU*CH,BU*BV,CS*CA,CS*BT,CS*BU,CS*CS,CS*CD,CS*DP,CS*CH,CS*BV,CD*CA,CD*BT,CD*BU,CD*CS,CD*CD,CD*DP,CD*CH,CD*BV,DP*CA,DP*BT,DP*BU,DP*CS,DP*CD,DP*DP,DP*CH,DP*BV,CH*CA,CH*BT,CH*BU,CH*CS,CH*CD,CH*DP,CH*CH,CH*BV,BV*CA,BV*BT,BV*BU,BV*CS,BV*CD,BV*DP,BV*CH,BV*BV
CA,0.2569613139603393,0.010109219,1.5743735630806519e-142,0.0001021963,-3.2952266e-06,-2.405714e-06,6.4958634e-08,7.110357e-06,1.1554026e-06,4.6889977e-06,-5.2531664e-07,-0.00022714087,-9.633783e-05,-0.000102093676,-0.00034234417,-0.00019865493,-0.00031484885,-0.00029816423,-5.4865275e-05,-0.00042301085,1.724658e-06,-5.1306274e-06,1.144327e-05,2.262013e-06,1.1061263e-05,2.0431218e-05,-5.3679314e-06,-0.00017100947,1.3466331e-06,1.0354648e-06,-5.927552e-06,1.7330273e-06,2.0681016e-05,5.587474e-06,-3.4766984e-07,9.895635e-06,-6.093778e-07,4.082253e-07,-1.1110828e-07,-3.7441689e-07,1.1332901e-05,-4.8856873e-06,2.74139e-06,3.5874033e-05,-8.873355e-06,-1.2892588e-05,6.609874e-06,-1.1414384e-05,3.0695064e-05,-5.7042183e-05,-6.764065e-06,-0.00019511013,-6.751278e-07,1.9182558e-07,-6.655361e-06,3.5745088e-06,-1.5404163e-05,5.8789277e-07,2.3780617e-06,0.00021970356,-6.735253e-06,-1.2789689e-05,5.0420676e-05,-1.3032396e-05,1.8031467e-05,-8.1452945e-06,-7.2320277e-06,-0.00021645435,-4.6465533e-07,-1.4662495e-05,6.453662e-06,2.751316e-06,5.244807e-05,8.141891e-06,-2.1548624e-06
BT,0.7717114579264273,0.038386166,6.822285088883431e-90,-3.2952266e-06,0.0014734977,0.00017536609,-2.0362888e-06,6.625632e-05,-3.4173072e-06,4.3026903e-05,0.00018835331,7.355262e-06,0.00010217412,8.1570804e-05,2.3896995e-05,1.1203435e-05,-5.9461137e-05,7.449162e-05,8.463581e-06,-8.188062e-05,-0.0017064393,-0.0018605192,0.0004579123,-0.00032234302,0.00022438829,-0.000799339,-0.0004884396,-0.0013746521,0.00016908681,-0.00013894573,-0.00074539933,-0.00027893815,-0.0004667281,-0.00029004927,-2.3748808e-05,-0.00017178689,9.9893194e-05,-2.673624e-05,3.4741956e-06,1.6389266e-05,2.9999379e-05,7.759721e-05,-1.6198359e-05,-0.0001055309,0.0002964834,-5.1766332e-05,-0.00084975443,-7.765124e-05,-0.0003298243,0.0002475061,3.8877653e-05,-9.489748e-05,9.9313176e-05,-3.0862338e-06,-2.5090629e-05,2.6684293e-05,-5.6574696e-05,3.529828e-05,-8.591184e-06,-0.00011747409,6.9454814e-05,-3.484359e-05,-0.0004155077,-3.742742e-05,-0.00017462313,-6.9531874e-05,-2.3704162e-05,-0.0020135194,0.0005292971,-9.637843e-07,-0.0008896876,-0.00026114236,-0.00029552652,-0.0002525429,-0.00011635976
BU,0.7266879756531779,0.02692121,1.779097741064926e-160,-2.405714e-06,0.00017536609,0.00072475156,6.982822e-06,0.00044080178,1.6532993e-05,4.2969197e-05,0.00045569337,5.3003428e-06,2.6734371e-05,0.00014493683,-5.3003012e-05,7.461129e-05,-2.1346435e-05,4.571929e-05,3.8852162e-05,0.0001467611,-0.00022699819,1.823849e-05,3.462538e-05,-6.173269e-05,-4.1365372e-05,-0.00035924095,-4.3924425e-05,-0.0015987633,-0.00068266474,-0.00088631193,-9.56818e-05,-0.0010269667,-0.0004900195,-0.0006167525,-0.00094104756,-4.723443e-05,-1.4849116e-06,4.0725303e-05,-1.4323555e-05,2.7717717e-05,-2.6253712e-05,-3.8857048e-05,-1.2930706e-05,-0.00016458245,-0.00031525915,-0.00016917291,-0.0014495107,-0.0007423153,-0.0011370543,-0.0008776037,-0.0004794377,3.9689425e-05,-1.3444387e-05,1.5552889e-05,5.6685138e-05,-2.0499815e-06,-0.00011083933,-7.528447e-05,-2.5681993e-06,-0.00011700505,-2.4515472e-05,4.9977094e-05,-0.00048431568,8.0481295e-05,-0.0001987955,-7.589671e-05,-3.17185e-05,-0.0010478824,-0.00032628578,-0.0002872126,-0.00023142585,-0.00089587155,-0.0007427612,-0.00069765135,-0.00037988313
CS,0.2673717597547721,0.010644492,3.137223763781567e-139,6.4958634e-08,-2.0362888e-06,6.982822e-06,0.00011330521,1.5795044e-05,2.1555527e-06,9.310256e-06,5.8622495e-06,-1.472059e-07,-4.66157e-07,1.164171e-06,-1.5680553e-05,6.554753e-07,-6.729496e-06,-1.1487575e-05,8.345612e-06,2.1471858e-05,4.6176997e-06,1.05180625e-05,1.8018007e-05,-3.8612884e-06,-2.1377766e-05,-4.22796e-05,7.5950566e-06,0.00012132254,-1.0490031e-05,-4.0396444e-06,0.0002998049,-1.599078e-05,-4.4623885e-05,-3.6647252e-05,2.1135233e-05,-0.00023444471,-0.00012408459,-9.605209e-05,-0.00023250206,-0.00021959622,-0.00051135285,-0.00036300067,-4.0506755e-05,-8.136039e-06,-3.351451e-05,-1.200997e-05,0.00050593005,-1.7355778e-05,-7.805568e-05,-5.397087e-05,9.968747e-06,1.5156822e-05,-7.603044e-06,1.5078318e-06,5.4732045e-06,-4.9512632e-06,-7.5966504e-06,-3.0635583e-05,1.3469556e-05,8.427002e-05,-2.1647113e-05,-1.1121617e-05,0.00052207365,-1.322277e-05,-5.7421483e-05,-1.438052e-05,3.3777117e-06,6.223403e-05,-4.8941797e-06,5.625327e-06,-7.498185e-06,1.6817881e-05,9.65901e-06,-9.478057e-06,-3.3076146e-06
CD,0.8586029974130679,0.05901445,5.923730199186375e-48,7.110357e-06,6.625632e-05,0.00044080178,1.5795044e-05,0.0034827054,4.6845966e-05,8.608945e-05,0.0007022656,-1.6170672e-05,2.7123557e-05,-1.1188602e-06,4.7940797e-05,0.000371397,0.00012335752,-2.5661611e-05,2.0008187e-05,0.0007616115,-0.00010105313,7.630576e-05,2.5652012e-05,-0.0001222244,-4.175154e-05,-6.606675e-05,3.0841263e-06,0.0011928175,-0.00037983264,-0.00059329346,-0.00100004,0.00035645545,-0.0009749485,-0.00016798766,-0.0002483339,-2.5590241e-05,-1.3130622e-05,4.9141563e-05,-3.3225777e-05,0.00038637736,-0.00011499396,3.714307e-05,-9.982218e-06,-0.0020597246,-0.0027267889,-0.0024027661,-0.009041939,-0.005889651,-0.009301263,-0.013376573,-0.0029406734,0.00010476582,-4.0005463e-05,2.2333659e-06,2.2606912e-06,3.2082524e-05,-0.00028788508,-1.7431306e-05,1.7432933e-05,-0.00043175436,-1.5382615e-05,-2.9236942e-06,-0.00052599015,0.000824642,4.5061206e-05,-0.0001888014,-1.5714893e-05,-0.0001934059,-0.00055973406,-0.0005867637,-0.000191765,0.00048535835,-0.0011869809,-0.00042608983,-0.0007416244
DP,0.28985352579802054,0.015274128,2.6544870146048313e-80,1.1554026e-06,-3.4173072e-06,1.6532993e-05,2.1555527e-06,4.6845966e-05,0.00023329898,1.222945e-05,3.4566583e-05,-2.489129e-06,1.9450584e-07,5.864854e-06,1.5174392e-05,-2.8784118e-06,2.647941e-05,1.5949916e-05,-8.176335e-06,1.6203319e-06,4.21585e-06,1.3178706e-05,1.38043215e-05,1.5355878e-06,-2.5068792e-05,1.4559675e-05,-1.9451395e-06,-4.815538e-06,-5.445467e-06,-1.7656336e-06,-7.117632e-05,1.0934575e-05,-4.4421868e-06,1.963539e-05,9.98929e-06,3.1424624e-05,-6.0080624e-06,2.3471986e-05,-4.2960137e-06,2.0943532e-06,0.0003704668,6.1660667e-06,6.3611883e-06,3.8806616e-06,-3.6174744e-05,4.205082e-05,-4.5829544e-05,-7.549433e-05,0.00056196086,-7.9576224e-05,-2.0828595e-05,0.00020239415,-0.00019816363,-6.0524504e-05,-0.00017230604,-0.00033001084,-0.0013178091,-0.00042437014,-0.00010639369,-5.8187405e-05,-1.3765754e-05,2.3799455e-05,5.318691e-05,-1.0934552e-05,0.00027645787,-2.0827034e-05,8.995272e-07,-6.161438e-05,-2.3322078e-05,0.00010809594,-2.3885521e-05,-6.335294e-05,0.0008122476,-8.805986e-05,-1.3715546e-05
CH,0.46891788448506694,0.012981015,9.75012053125934e-286,4.6889977e-06,4.3026903e-05,4.2969197e-05,9.310256e-06,8.608945e-05,1.222945e-05,0.00016850677,1.5761638e-05,-1.0243941e-05,-6.048398e-06,-4.659285e-05,0.000113787515,-7.4604377e-06,0.000100545905,-2.4749648e-05,-2.8905632e-05,0.00019073428,-5.179138e-05,5.76059e-06,-6.018022e-06,-1.2902418e-05,-7.819902e-06,-3.4555957e-05,-9.712172e-06,0.00012018907,-2.8889039e-05,-4.0840656e-05,-0.00020729528,-7.460326e-05,-7.337356e-05,-0.00013914847,-3.9291313e-05,4.2457934e-05,-6.9655384e-06,-3.521577e-05,-1.8941968e-05,-1.4876392e-05,7.8946185e-05,-0.00012604165,-1.3486016e-05,-0.00025869353,-6.2956715e-05,-0.00015492683,-0.00060529826,-0.00010899827,-2.718056e-05,5.7856847e-05,-6.601814e-05,0.00010034238,-8.359736e-06,-1.1542803e-05,1.7535128e-06,-9.605233e-06,-6.890198e-05,-5.353376e-05,-3.4378293e-06,-0.0009103869,-0.0001332846,-0.00021950659,-0.0013008103,-0.00033905543,-0.0002018058,-0.00026206928,-0.00014217927,-2.6090616e-05,1.36929075e-05,9.737449e-06,-3.1073836e-05,-1.5778805e-05,-9.520492e-05,-4.1322266e-05,-2.421218e-06
BV,0.8903571771002721,0.040413085,1.4402590275008387e-107,-5.2531664e-07,0.00018835331,0.00045569337,5.8622495e-06,0.0007022656,3.4566583e-05,1.5761638e-05,0.0016332174,1.0974499e-06,3.662271e-05,0.0001100935,-2.4429255e-05,9.461797e-05,4.286477e-06,2.764653e-05,0.00010509386,0.00037698925,-0.00023371185,-4.5531546e-05,-6.8160785e-05,-5.331297e-05,6.533114e-05,-0.00056460453,-3.3064384e-06,-0.0010483505,-0.0002995575,-0.0004880642,-0.0018971828,-0.0007203936,-0.00045358733,-0.001142862,0.00046271423,-5.7235255e-05,1.759829e-07,-1.0856434e-05,-1.21819785e-05,6.230716e-05,3.6431564e-05,-6.729299e-05,4.445054e-06,-0.00048538667,-0.00047949931,-0.00063621195,-0.0013711953,-0.0012603046,-0.0013023963,-0.0015298012,0.00016011471,0.00014239544,-1.4504748e-05,-3.3105014e-05,-3.8575065e-05,1.5258098e-05,-0.00028284846,-0.00010942743,3.362748e-05,-7.801112e-05,-6.352122e-06,-2.5746791e-05,1.35404725e-05,0.00022899997,-3.781055e-05,-3.0684256e-05,-5.172941e-05,0.0011952664,-0.0016475089,-0.0018093874,0.00021822874,-0.0016912178,-0.0029031092,-0.0015839813,-0.0016790702
CA*CA,-0.2863635997363954,0.024663717,3.635254741924101e-31,-0.00022714087,7.355262e-06,5.3003428e-06,-1.472059e-07,-1.6170672e-05,-2.489129e-06,-1.0243941e-05,1.0974499e-06,0.0006082989,0.00021312854,0.00023036238,0.0007279975,0.00043748892,0.00067072304,0.0006426947,0.00012685725,0.0009372509,-3.8909848e-06,1.06007e-05,-2.6093394e-05,-4.8828997e-06,-2.4026423e-05,-4.1883028e-05,1.1733813e-05,0.0003826851,-2.9219518e-06,-2.2765169e-06,1.1795232e-05,-4.0137693e-06,-4.5041495e-05,-1.1616077e-05,3.452602e-07,-1.9885269e-05,1.3487476e-06,-7.7324137e-07,2.5469632e-07,7.0726406e-07,-2.4828969e-05,1.045514e-05,-6.010544e-06,-7.611897e-05,1.984912e-05,2.9069632e-05,-1.6616697e-05,2.6171108e-05,-6.722442e-05,0.00012446573,1.5465157e-05,0.00043943577,1.4055107e-06,-5.929373e-07,1.45795475e-05,-7.72575e-06,3.2987828e-05,-7.2741096e-07,-5.4738184e-06,-0.00048840605,1.4541033e-05,2.8156282e-05,-0.00011002345,2.8115017e-05,-4.074584e-05,1.7830283e-05,1.575321e-05,0.00048201537,1.2422452e-06,3.1428222e-05,-1.4834033e-05,-6.1470255e-06,-0.00011309176,-1.7248714e-05,4.7625617e-06
CA*BT,-0.14659480864040553,0.024347289,1.7335224440411054e-09,-9.633783e-05,0.00010217412,2.6734371e-05,-4.66157e-07,2.7123557e-05,1.9450584e-07,-6.048398e-06,3.662271e-05,0.00021312854,0.0005927905,5.9076927e-05,-0.0013720749,0.0001613378,0.0006403515,0.0002702132,-5.9010283e-05,-0.008493165,-9.1220114e-05,-9.929654e-05,-4.7006347e-07,-3.1102845e-05,-0.00022905442,0.00012635652,5.3433698e-05,-0.00075004663,-2.5958072e-05,-2.5685793e-05,7.3979405e-05,-6.309666e-06,-1.3444182e-05,-1.9282397e-05,1.3331374e-06,-2.7113827e-05,1.4747412e-05,-1.5629623e-05,6.7106225e-07,3.7628452e-06,-8.96157e-05,4.201268e-05,-1.731692e-06,-0.0002256961,4.6561418e-05,4.6819756e-07,-0.00025088392,-5.3749845e-05,-0.00034975616,6.652754e-05,-1.14173645e-05,0.00026455877,-9.67361e-06,-3.8512167e-06,4.308512e-05,-1.259436e-05,-1.036457e-05,8.836244e-06,2.5370039e-06,-0.00014239589,7.813244e-05,1.23406435e-05,-1.5713083e-05,3.052615e-05,-0.00015848399,6.1804412e-06,-6.940659e-06,-0.00011908071,-6.50111e-06,-2.6988031e-05,-0.00012628519,-3.2812357e-05,1.7971814e-05,2.7190372e-05,-2.7223296e-05
