species,true,pred,stdv
CA,0.0363949549930706,0.04980156943202019,0.04316088557243347
DP,0.0490459876014358,0.13385452330112457,0.06907911598682404
CH,0.3422311404617775,0.36368831992149353,0.05574851483106613
BV,0.4346612566103826,0.4381702244281769,0.11675460636615753
CA,0.0590608962975826,0.028172919526696205,0.0384206548333168
BT,0.4574309835406763,0.6096177101135254,0.15170031785964966
BU,0.0982327074862059,0.1572924703359604,0.08731570094823837
CS,0.0223644178985529,0.03963937982916832,0.055013496428728104
CH,0.1943480669888727,0.21743109822273254,0.04871579632163048
BV,0.121229590454776,0.15298567712306976,0.10630180686712265
CA,0.0326643277669582,0.03193825110793114,0.038508668541908264
BT,0.5594465275768804,0.6944627165794373,0.14655840396881104
BU,0.1782958250913585,0.2030925750732422,0.08495689928531647
CS,0.0170290837066694,0.0219297856092453,0.05443531647324562
DP,0.0678244767290689,0.13454243540763855,0.0637315884232521
CH,0.1594064281290643,0.1282176524400711,0.04697862267494202
CA,0.0611577432172595,0.06394390016794205,0.04706130549311638
BU,0.2955696466089201,0.25749093294143677,0.14223717153072357
CS,0.1607694755609495,0.27499061822891235,0.10429859906435013
DP,0.272005745417208,0.16817808151245117,0.07518666982650757
BV,0.3146640581956628,0.37058183550834656,0.19305294752120972
BT,0.9790113714279216,0.7854346036911011,0.14429497718811035
CS,0.0535819569476342,0.027364417910575867,0.054824452847242355
CD,0.0439300332320918,0.12329456210136414,0.11792827397584915
DP,0.080976612059019,0.1201908141374588,0.06377080082893372
CA,0.1038851023077604,0.024071041494607925,0.03863408789038658
BU,0.2327329181240531,0.35055020451545715,0.09971354156732559
CS,0.0556975634165039,0.06824859231710434,0.060013413429260254
CD,0.0864265275493625,0.17985829710960388,0.12483340501785278
DP,0.1057449056404163,0.13619820773601532,0.06741085648536682
BV,0.1370129776285702,0.24558401107788086,0.12974928319454193
CA,0.0485418586517987,3.1399126354525464e-11,0.04662260413169861
BU,0.3399681291931873,0.37512820959091187,0.08767374604940414
CS,0.0205277358327218,0.03526025637984276,0.055330295115709305
DP,0.1044080366550492,0.1269964873790741,0.06385322660207748
CH,0.2574355281995585,0.24523064494132996,0.049968916922807693
BV,0.1959520324676843,0.19473764300346375,0.09936355799436569
BT,0.7948555118720889,0.795218825340271,0.1152414008975029
BU,0.1238807261973519,0.09646563231945038,0.08129817992448807
CS,0.1488607197897583,0.08467421680688858,0.05706075206398964
DP,0.1137632532363949,0.12491331994533539,0.06328468024730682
BV,0.1124731069044058,0.03496496379375458,0.09055526554584503
BT,0.8036873972291525,0.7288624048233032,0.11904150247573853
CS,0.1138050269426665,0.13044460117816925,0.06357122212648392
DP,0.2033901044914372,0.1371498703956604,0.06427506357431412
BV,0.1558674278367436,0.10041441768407822,0.09613627940416336
BT,0.9638596058739174,0.7223457098007202,0.11656895279884338
CD,0.2028070657927494,0.2973729968070984,0.1119128167629242
BU,0.4216500187475621,0.5093308687210083,0.08737777173519135
CD,0.3261833325857712,0.3926427960395813,0.11533959209918976
CD,0.2901977696311498,0.3720054626464844,0.12101337313652039
DP,0.1081355513688502,0.17012245953083038,0.0665488913655281
BT,0.6339901759318601,0.4716144800186157,0.157964825630188
BU,0.2117660435033956,0.2930171489715576,0.09253200888633728
DP,0.0648399147459723,0.0812055692076683,0.04959750920534134
CH,0.1067371971521051,0.28897374868392944,0.046203676611185074
CA,0.0403684796596857,0.06669557839632034,0.04696524515748024
CS,0.0177717431263171,0.08716562390327454,0.06342674791812897
CH,0.2300045416566911,0.24741458892822266,0.05889761820435524
BV,0.7240218872239725,0.6755609512329102,0.10337172448635101
CA,0.0281679869687717,0.025571443140506744,0.03803284838795662
BT,0.5420046876967496,0.6106061339378357,0.14822076261043549
BU,0.1566968368406277,0.1674664169549942,0.08698344230651855
CS,0.0191291170326012,0.029133450239896774,0.054745420813560486
DP,0.063880382940612,0.08768303692340851,0.04848112165927887
CH,0.1961327990937795,0.18567587435245514,0.04182850569486618
BV,0.0639882340935247,0.0690460205078125,0.08903304487466812
CA,0.2201724873015989,0.07678492367267609,0.047472406178712845
CS,0.0583737689357708,0.06559845060110092,0.060821305960416794
DP,0.3480392343710503,0.1539253145456314,0.05232140049338341
CH,0.1504145370582466,0.14809471368789673,0.05959536135196686
CA,0.0557293681493428,0.03655965253710747,0.03861026465892792
BT,0.7159190762522883,0.8486182689666748,0.14445015788078308
BU,0.1075717127110224,0.10429184883832932,0.08607414364814758
CS,0.1482383235171806,0.06907159835100174,0.05565808340907097
DP,0.1458598277192946,0.14085425436496735,0.04883895441889763
BV,0.0851816739842045,0.04427250102162361,0.08813410252332687
CD,0.2141505283022239,0.5109485387802124,0.11672566086053848
BV,0.7796827900311095,0.4110257923603058,0.12029092758893967
CA,0.0649370323978561,0.028037607669830322,0.04219581559300423
BT,0.7721756729102017,0.8727765083312988,0.14206530153751373
