Treatments,Time,BT,BV,CD,CH,BU,CS,CA,DP,P1,P2,P3
BT-BV-MS001-CH-BU-CS-DP_0,12,0.683111669,0.086270688,0.543376968,0.108798586,0.375158092,0.02644671,0.0,0.026503928,1.0,0.0,0.0
BT-BV-MS001-CH-BU-CS-DP_0,24,0.656287565,0.011481231,0.581471762,0.081872147,0.298780492,0.086965211,0.0,0.020808276,1.0,0.0,0.0
BT-BV-MS001-CH-CS-CA-DP_0,0,0.001428571,0.001428571,0.001428571,0.001428571,0.0,0.001428571,0.001428571,0.001428571,1.0,0.0,0.0
BT-BV-MS001-CH-CS-CA-DP_0,12,1.07483369,0.098214733,0.536802196,0.079807893,0.0,0.029112614,0.020091681,0.045720534,1.0,0.0,0.0
BT-BV-MS001-CH-CS-CA-DP_0,24,0.994797034,0.016398097,0.62707319,0.092263819,0.0,0.061363129,0.065923958,0.051347453,1.0,0.0,0.0
BT-CA_0,0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,1.0,0.0,0.0
BT-CA_0,12,1.715623174,0.0,0.0,0.0,0.0,0.0,0.048043501,0.0,1.0,0.0,0.0
BT-CA_0,24,1.44498783,0.0,0.0,0.0,0.0,0.0,0.046512166,0.0,1.0,0.0,0.0
BT-MS001-CH-BU-CS-CA-DP_0,0,0.001428571,0.0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,1.0,0.0,0.0
BT-MS001-CH-BU-CS-CA-DP_0,12,0.756708922,0.0,0.461238003,0.100994222,0.477315436,0.017373725,0.011090124,0.038112876,1.0,0.0,0.0
BT-MS001-CH-BU-CS-CA-DP_0,24,0.68899837,0.0,0.48956557,0.096550713,0.292102129,0.042922601,0.021419684,0.025440925,1.0,0.0,0.0
BU-BT_0,0,0.005,0.0,0.0,0.0,0.005,0.0,0.0,0.0,1.0,0.0,0.0
BU-BT_0,12,1.237538642,0.0,0.0,0.0,0.413294653,0.0,0.0,0.0,1.0,0.0,0.0
BU-BT_0,24,1.211940777,0.0,0.0,0.0,0.354559197,0.0,0.0,0.0,1.0,0.0,0.0
BU-BV_0,0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.0,1.0,0.0,0.0
BU-BV_0,12,0.0,0.677923254,0.0,0.0,0.677910064,0.0,0.0,0.0,1.0,0.0,0.0
BU-BV_0,24,0.0,1.007333068,0.0,0.0,0.352166929,0.0,0.0,0.0,1.0,0.0,0.0
BU-CA_0,0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,1.0,0.0,0.0
BU-CA_0,12,0.0,0.0,0.0,0.0,1.230954535,0.0,0.070045441,0.0,1.0,0.0,0.0
BU-CA_0,24,0.0,0.0,0.0,0.0,0.939759544,0.0,0.133907125,0.0,1.0,0.0,0.0
BV-BT_0,0,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BV-BT_0,12,1.759245252,0.229921442,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BV-BT_0,24,1.38862985,0.378203472,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BV-CA_0,0,0.0,0.005,0.0,0.0,0.0,0.0,0.005,0.0,1.0,0.0,0.0
BV-CA_0,12,0.0,1.215768651,0.0,0.0,0.0,0.0,0.278398007,0.0,1.0,0.0,0.0
BV-CA_0,24,0.0,1.108138883,0.0,0.0,0.0,0.0,0.285361094,0.0,1.0,0.0,0.0
BV-MS001-CH-BU-CS-CA-DP_0,0,0.0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,1.0,0.0,0.0
BV-MS001-CH-BU-CS-CA-DP_0,12,0.0,0.067700162,0.540168901,0.086380448,0.499195846,0.033567452,0.013168218,0.032485681,1.0,0.0,0.0
BV-MS001-CH-BU-CS-CA-DP_0,24,0.0,0.026135882,0.605188622,0.070855828,0.447496495,0.238162404,0.053219813,0.037107641,1.0,0.0,0.0
CH-BT_0,0,0.005,0.0,0.0,0.005,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CH-BT_0,12,1.848360128,0.0,0.0,0.114973217,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CH-BT_0,24,1.238869079,0.0,0.0,0.036630937,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CH-BU_0,0,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,1.0,0.0,0.0
CH-BU_0,12,0.0,0.0,0.0,0.15348373,1.235182956,0.0,0.0,0.0,1.0,0.0,0.0
CH-BU_0,24,0.0,0.0,0.0,0.227194306,0.937805652,0.0,0.0,0.0,1.0,0.0,0.0
CH-BV_0,0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CH-BV_0,12,0.0,0.851890082,0.0,0.491776636,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CH-BV_0,24,0.0,0.904308544,0.0,0.357191483,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CH-CA_0,0,0.0,0.0,0.0,0.005,0.0,0.0,0.005,0.0,1.0,0.0,0.0
CH-CA_0,12,0.0,0.0,0.0,0.218695908,0.0,0.0,0.082304089,0.0,1.0,0.0,0.0
CH-CA_0,24,0.0,0.0,0.0,0.148478455,0.0,0.0,0.151354881,0.0,1.0,0.0,0.0
CH-CS_0,0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0,1.0,0.0,0.0
CH-CS_0,12,0.0,0.0,0.0,0.319806616,0.0,0.526860034,0.0,0.0,1.0,0.0,0.0
CH-CS_0,24,0.0,0.0,0.0,0.239503103,0.0,0.648996918,0.0,0.0,1.0,0.0,0.0
CH-DP_0,0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.005,1.0,0.0,0.0
CH-DP_0,12,0.0,0.0,0.0,0.057250103,0.0,0.0,0.0,0.277416585,1.0,0.0,0.0
CH-DP_0,24,0.0,0.0,0.0,0.046018517,0.0,0.0,0.0,0.291398143,1.0,0.0,0.0
CS-BT_0,0,0.005,0.0,0.0,0.0,0.0,0.005,0.0,0.0,1.0,0.0,0.0
CS-BT_0,12,1.974250319,0.0,0.0,0.0,0.0,0.320583,0.0,0.0,1.0,0.0,0.0
CS-BT_0,24,1.692240411,0.0,0.0,0.0,0.0,0.377759618,0.0,0.0,1.0,0.0,0.0
CS-BU_0,0,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.0,1.0,0.0,0.0
CS-BU_0,12,0.0,0.0,0.0,0.0,0.882400116,0.742933219,0.0,0.0,1.0,0.0,0.0
CS-BU_0,24,0.0,0.0,0.0,0.0,0.688211432,0.677121873,0.0,0.0,1.0,0.0,0.0
CS-BV_0,0,0.0,0.005,0.0,0.0,0.0,0.005,0.0,0.0,1.0,0.0,0.0
CS-BV_0,12,0.0,1.001307491,0.0,0.0,0.0,0.358525845,0.0,0.0,1.0,0.0,0.0
CS-BV_0,24,0.0,1.018079541,0.0,0.0,0.0,0.145087177,0.0,0.0,1.0,0.0,0.0
CS-CA_0,0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.0,1.0,0.0,0.0
CS-CA_0,12,0.0,0.0,0.0,0.0,0.0,0.39072319,0.007776807,0.0,1.0,0.0,0.0
CS-CA_0,24,0.0,0.0,0.0,0.0,0.0,0.796445552,0.271721073,0.0,1.0,0.0,0.0
CS-DP_0,0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,1.0,0.0,0.0
CS-DP_0,12,0.0,0.0,0.0,0.0,0.0,0.344121404,0.0,0.145211948,1.0,0.0,0.0
CS-DP_0,24,0.0,0.0,0.0,0.0,0.0,0.189840092,0.0,0.234493228,1.0,0.0,0.0
DP-BT_0,0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.005,1.0,0.0,0.0
DP-BT_0,12,1.941975593,0.0,0.0,0.0,0.0,0.0,0.0,0.067857769,1.0,0.0,0.0
DP-BT_0,24,1.870548571,0.0,0.0,0.0,0.0,0.0,0.0,0.06045144,1.0,0.0,0.0
DP-BU_0,0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.005,1.0,0.0,0.0
DP-BU_0,12,0.0,0.0,0.0,0.0,0.724432791,0.0,0.0,0.680025524,1.0,0.0,0.0
DP-BU_0,24,0.0,0.0,0.0,0.0,0.36480403,0.0,0.0,0.893487665,1.0,0.0,0.0
DP-BV_0,0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,1.0,0.0,0.0
DP-BV_0,12,0.0,1.413939791,0.0,0.0,0.0,0.0,0.0,0.20789352,1.0,0.0,0.0
DP-BV_0,24,0.0,1.188235427,0.0,0.0,0.0,0.0,0.0,0.326731266,1.0,0.0,0.0
DP-CA_0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,1.0,0.0,0.0
DP-CA_0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.002926229,0.131907108,1.0,0.0,0.0
DP-CA_0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.005125868,0.150374126,1.0,0.0,0.0
MS001-BT_0,0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MS001-BT_0,12,1.505030966,0.0,0.628802359,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MS001-BT_0,24,1.18940892,0.0,0.795591061,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MS001-BT_1,0,0.059470446,0.0,0.039779553,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MS001-BT_1,12,1.605774828,0.0,0.033891834,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MS001-BT_1,24,1.495358598,0.0,0.01764139,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MS001-BT_2,0,0.07476793,0.0,0.00088207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MS001-BT_2,12,1.601241225,0.0,0.528092148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MS001-BT_2,24,1.180607073,0.0,0.271392926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MS001-BU_0,0,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,1.0,0.0,0.0
MS001-BU_0,12,0.0,0.0,0.773118687,0.0,0.400214647,0.0,0.0,0.0,1.0,0.0,0.0
MS001-BU_0,24,0.0,0.0,0.845427729,0.0,0.458238909,0.0,0.0,0.0,1.0,0.0,0.0
MS001-BU_1,0,0.0,0.0,0.042271386,0.0,0.022911945,0.0,0.0,0.0,0.0,1.0,0.0
MS001-BU_1,12,0.0,0.0,0.584619736,0.0,0.218546923,0.0,0.0,0.0,0.0,1.0,0.0
MS001-BU_1,24,0.0,0.0,0.685639213,0.0,0.201194138,0.0,0.0,0.0,0.0,1.0,0.0
MS001-BU_2,0,0.0,0.0,0.034281961,0.0,0.010059707,0.0,0.0,0.0,0.0,0.0,1.0
MS001-BU_2,12,0.0,0.0,0.597588778,0.0,0.036577877,0.0,0.0,0.0,0.0,0.0,1.0
MS001-BU_2,24,0.0,0.0,0.591332691,0.0,0.06566731,0.0,0.0,0.0,0.0,0.0,1.0
MS001-BV_0,0,0.0,0.005,0.005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MS001-BV_0,12,0.0,0.228360256,1.252306397,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MS001-BV_0,24,0.0,0.184921763,0.778078253,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MS001-BV_1,0,0.0,0.009246088,0.038903913,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MS001-BV_1,12,0.0,0.574797221,0.722869414,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MS001-BV_1,24,0.0,0.377515533,0.769817807,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MS001-BV_2,0,0.0,0.018875777,0.03849089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MS001-BV_2,12,0.0,1.106545428,0.406287865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MS001-BV_2,24,0.0,0.935403796,0.362596228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MS001-CA_0,0,0.0,0.0,0.005,0.0,0.0,0.0,0.005,0.0,1.0,0.0,0.0
MS001-CA_0,12,0.0,0.0,0.542406301,0.0,0.0,0.0,0.012593687,0.0,1.0,0.0,0.0
MS001-CA_0,24,0.0,0.0,0.466074921,0.0,0.0,0.0,0.01025841,0.0,1.0,0.0,0.0
MS001-CA_1,0,0.0,0.0,0.023303746,0.0,0.0,0.0,0.000512921,0.0,0.0,1.0,0.0
MS001-CA_1,12,0.0,0.0,0.461525736,0.0,0.0,0.0,0.019140928,0.0,0.0,1.0,0.0
MS001-CA_1,24,0.0,0.0,0.544652542,0.0,0.0,0.0,0.019347475,0.0,0.0,1.0,0.0
MS001-CA_2,0,0.0,0.0,0.027232627,0.0,0.0,0.0,0.000967374,0.0,0.0,0.0,1.0
MS001-CA_2,12,0.0,0.0,0.4960828,0.0,0.0,0.0,0.01258384,0.0,0.0,0.0,1.0
MS001-CA_2,24,0.0,0.0,0.435388726,0.0,0.0,0.0,0.021111284,0.0,0.0,0.0,1.0
MS001-CH-CS-DP-BU-BV-BT-CA_0,0,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,1.0,0.0,0.0
MS001-CH-CS-DP-BU-BV-BT-CA_0,12,0.842660721,0.042401965,0.501114472,0.098717379,0.402269348,0.019037611,0.014389709,0.0257421,1.0,0.0,0.0
MS001-CH-CS-DP-BU-BV-BT-CA_0,24,0.769346418,0.00830126,0.424920205,0.076678711,0.209840355,0.041295032,0.039322753,0.031961932,1.0,0.0,0.0
MS001-CH-CS-DP-BU-BV-BT-CA_1,0,0.038467321,0.000415063,0.02124601,0.003833936,0.010492018,0.002064752,0.001966138,0.001598097,0.0,1.0,0.0
MS001-CH-CS-DP-BU-BV-BT-CA_1,12,1.311098284,0.011922941,0.005666609,0.006510725,0.253010901,0.122281222,0.12564852,0.007027453,0.0,1.0,0.0
MS001-CH-CS-DP-BU-BV-BT-CA_1,24,1.692966663,0.020537427,0.005803877,0.010686284,0.360968595,0.133010553,0.120732328,0.00812763,0.0,1.0,0.0
MS001-CH-CS-DP-BU-BV-BT-CA_2,0,0.084648333,0.001026871,0.000290194,0.000534314,0.01804843,0.006650528,0.006036616,0.000406382,0.0,0.0,1.0
MS001-CH-CS-DP-BU-BV-BT-CA_2,12,1.597972205,0.00216991,0.028217737,5.91e-05,0.060765892,0.001439624,0.199988323,0.001053875,0.0,0.0,1.0
MS001-CH-CS-DP-BU-BV-BT-CA_2,24,1.25669408,0.00093462,0.030007864,0.0,0.034089633,0.000535965,0.038782666,0.000121814,0.0,0.0,1.0
MS001-CH_0,0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MS001-CH_0,12,0.0,0.0,0.295841084,0.095992257,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MS001-CH_0,24,0.0,0.0,0.323957073,0.070376261,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MS001-CH_1,0,0.0,0.0,0.016197854,0.003518813,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MS001-CH_1,12,0.0,0.0,0.508217849,0.030615473,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MS001-CH_1,24,0.0,0.0,0.823821598,0.027345054,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MS001-CH_2,0,0.0,0.0,0.04119108,0.001367253,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MS001-CH_2,12,0.0,0.0,0.493475414,0.011357903,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MS001-CH_2,24,0.0,0.0,0.432096345,0.018736977,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MS001-CS_0,0,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,1.0,0.0,0.0
