Param name,Param value,Param stdv,Param p-value,CA,BT,BU,CS,CD,DP,CH,BV,CA*CA,CA*BT,CA*BU,CA*CS,CA*CD,CA*DP,CA*CH,CA*BV,BT*CA,BT*BT,BT*BU,BT*CS,BT*CD,BT*DP,BT*CH,BT*BV,BU*CA,BU*BT,BU*BU,BU*CS,BU*CD,BU*DP,BU*CH,BU*BV,CS*CA,CS*BT,CS*BU,CS*CS,CS*CD,CS*DP,CS*CH,CS*BV,CD*CA,CD*BT,CD*BU,CD*CS,CD*CD,CD*DP,CD*CH,CD*BV,DP*CA,DP*BT,DP*BU,DP*CS,DP*CD,DP*DP,DP*CH,DP*BV,CH*CA,CH*BT,CH*BU,CH*CS,CH*CD,CH*DP,CH*CH,CH*BV,BV*CA,BV*BT,BV*BU,BV*CS,BV*CD,BV*DP,BV*CH,BV*BV
CH*CS,-2.027993900154718,0.45675445,8.995507092521007e-06,9.323301e-05,-7.80202e-05,-0.00029205828,0.0005470925,-0.00059237506,-0.00015403995,-0.0009996761,0.00031110924,-0.00019982322,9.1862945e-05,-0.0013511247,0.0042571425,-0.0002007376,0.00087970553,0.0014334436,-0.00048476376,0.012066168,2.3306884e-05,0.00017434999,0.0013135874,-0.000611995,-0.0005985438,0.002483685,3.4473476e-05,-0.0045691077,-6.904563e-05,0.00021308742,0.019913806,-0.00015453693,-0.0013074025,0.0065770284,0.0013997266,-0.0025188557,-0.00024602955,0.00018249886,-0.0011276406,0.0010663458,0.0009932419,0.021543162,-0.001184507,-0.0024690125,-0.0025807878,-0.002355993,0.083832815,0.0008401992,0.008672827,-0.006506916,0.0022530463,-0.008608897,-0.0001816186,-0.0002392218,0.013113847,0.00030002,0.0022022454,-0.00043753456,-0.00022213248,-0.03172539,-0.0018007997,-0.002053096,0.20862463,0.00029019642,0.00601866,0.0007073256,-0.003464917,0.00265271,6.793175e-05,0.0012988822,0.0014338405,-0.00071977626,0.0041451044,0.0007044363,-0.00027166132
CH*CD,-0.6747847954335371,0.060509454,7.023147601103462e-29,-9.760086e-06,-2.363162e-05,2.7745045e-05,-2.2460745e-05,0.0008910756,7.72893e-06,-0.00029838568,6.982802e-05,2.0997953e-05,1.0470349e-05,4.673516e-05,-7.3729556e-05,0.00040474389,-0.0002390819,-3.8585276e-05,5.2191124e-05,-8.0786245e-05,2.6292997e-05,-4.4078424e-05,-1.0142599e-05,9.0512476e-05,-7.3252204e-06,-7.607084e-06,2.3067362e-06,-5.4328702e-05,-5.0293456e-05,-5.6700243e-05,0.0004543015,0.0008328275,-0.0005550904,0.00038957785,-0.00013309775,-9.958066e-05,-1.1603307e-05,-1.0841305e-06,4.4782915e-05,0.0008590077,-0.00050377456,-9.68575e-05,0.0001685352,-0.00027261683,-0.00091600313,-0.0008583526,0.00081914983,-0.00059360143,-0.002748934,0.010517446,-0.00126844,-0.00021640547,-1.1930677e-05,-3.8993323e-05,-0.00034018423,0.0001618935,8.211012e-05,3.7860011e-06,3.546216e-05,0.0010358396,0.0002546929,0.00028643763,0.00029019642,0.0036613941,-0.00025407097,0.0003177108,0.00050964585,-0.0007016443,-6.900616e-05,-0.00022371097,-6.2351e-05,0.00071077555,0.00012672498,0.00027839505,-8.153355e-05
CH*DP,-0.8045162404276603,0.16609794,1.274910237140415e-06,1.437334e-05,-6.1401945e-05,-0.00012899925,-9.0161186e-05,-0.000118394535,0.00027604023,-0.00018965491,2.0687805e-05,-3.190889e-05,-0.00014609954,-0.0002121639,-0.00030183725,-0.00015091088,0.002078332,0.0003433066,1.0089579e-05,-0.0038226305,0.0001221618,7.73585e-05,-0.00022841849,-0.00012006812,0.0013254927,-0.0002210446,-6.6833665e-05,-0.0008420515,3.0302926e-05,4.2881897e-05,-0.00066249,-0.00033578655,0.007455289,0.0004443245,0.00033997835,-0.0020946707,-4.5537075e-05,-0.00033327908,0.00017970208,0.00043198396,0.012150684,0.0006956559,-0.0004811998,-0.0013556326,-0.0002689498,-0.0016286453,0.006642407,-0.00036105778,0.020234607,0.00096042186,0.0013994832,-0.00014194212,7.205573e-06,0.00014874998,0.0012492258,8.4353334e-05,-4.1106665e-05,0.0018536816,0.000113002556,-0.01955081,0.00022323235,-0.0019214186,0.00601866,-0.00025407097,0.027588524,-0.00016591774,-0.00037099305,-0.00041196658,2.5485788e-06,0.00015646347,-7.0407114e-06,-2.6257476e-07,0.009294107,0.0009472176,-5.751537e-05
CH*CH,-1.0089482878470935,0.028978195,1.3220498825478296e-265,-4.2633174e-06,-3.10728e-05,-4.6234014e-05,-1.0200264e-05,-0.0001098424,-7.51445e-06,-0.00017236805,2.0998484e-06,9.331143e-06,1.068453e-06,1.6977601e-05,-5.3896383e-05,-5.810908e-06,-0.00010433467,8.9353875e-05,3.1202784e-05,3.0367444e-05,2.374163e-05,-7.3896244e-06,1.6959308e-05,2.1995598e-05,5.129924e-06,0.00012086119,1.0436713e-05,-2.504755e-06,3.6293277e-05,2.8016833e-05,0.00015203297,5.911768e-05,-5.2263085e-06,0.00023846621,7.524825e-05,-6.337486e-05,2.9442265e-06,1.685654e-05,2.0793575e-05,-4.2210054e-06,-0.0002152916,0.00025723642,5.785771e-05,-4.432746e-05,8.416619e-05,7.8421945e-05,9.975121e-07,0.00018149154,-9.5370924e-05,0.00063628925,0.0001307978,-2.561006e-05,7.84326e-07,-7.3952145e-07,-0.00018626857,-1.0121344e-05,6.0988317e-05,0.00010682798,2.7720454e-05,0.00068272266,0.00010184255,0.00012317055,0.0007073256,0.0003177108,-0.00016591774,0.0008397358,0.00012665993,-1.2556011e-06,-3.3764714e-05,-5.147161e-05,2.2288295e-05,3.7975688e-06,0.0001625317,9.419592e-05,-7.1634354e-06
CH*BV,0.05312852800266313,0.032681633,0.10402653117094857,-5.515791e-06,-2.4693201e-05,-5.4112883e-05,-2.3848293e-05,-5.0572355e-05,2.0072539e-05,-0.00020299417,-0.00010781963,1.139866e-05,-1.03693255e-05,3.8540322e-05,-0.00017311527,-9.951915e-07,-0.00028996266,-2.3863528e-05,0.0001412543,-0.00020409454,2.0670132e-05,-4.9354316e-05,2.9128454e-05,4.4468856e-05,-2.1171998e-05,0.000106858904,4.8504055e-05,-2.869161e-05,4.0290084e-05,1.9219653e-05,1.7691416e-06,0.00014255104,-0.00015772626,2.937353e-05,0.00024765992,-0.00030683575,-3.3253105e-05,7.2957914e-06,4.57976e-05,6.0145554e-05,-0.00075473415,-0.00015176866,0.00042370387,-0.00014565904,0.000103325474,8.007685e-05,-0.00020305817,-6.632888e-05,-0.0003755179,0.0016813468,0.0005432007,-5.272031e-05,-1.262382e-05,-2.965142e-05,-0.0003198375,1.0523125e-05,-0.00034088147,8.7134016e-05,0.00012357991,0.0007060559,0.00024870445,0.0003357364,-0.003464917,0.00050964585,-0.00037099305,0.00012665993,0.0010680892,-3.8944316e-05,6.1915904e-05,0.00016752393,8.082559e-05,0.0004363594,0.00067523296,0.00016340421,7.8328216e-05
BV*CA,0.01901446068135086,0.46573335,0.9674338739322416,3.2001793e-05,-0.00028893878,-0.00024614407,9.287864e-06,-0.00042473912,-8.15522e-05,-2.6413323e-05,-0.0003288856,-7.148056e-05,-6.912546e-05,-4.16567e-05,0.00034747933,-0.00014521448,-0.00022062109,-8.382827e-05,0.0004522804,0.021574568,0.00020164644,-0.00037345418,0.0002556053,0.00015599183,-0.00044468849,-0.0028358197,0.00017640603,0.015640223,-3.2869702e-05,0.0003013521,0.0017738972,0.0014217148,0.00013096537,-0.005883702,0.00033683766,0.0008294492,1.650698e-06,6.9027505e-05,-1.7610108e-05,1.1758785e-05,-0.0010464811,-5.0124298e-05,0.0001393171,0.006137364,0.0004312304,0.0023952795,-0.0036027133,0.0013529604,-0.003581007,-0.013481239,-0.0020927761,0.014150884,-7.002764e-05,-3.2437052e-05,-0.00033302724,-0.00048409318,-0.0010324059,-0.00080967625,0.0002507201,0.0009084519,-0.00020584224,6.0665312e-05,0.0026527098,-0.0007016443,-0.00041196682,-1.2555986e-06,-3.89443e-05,0.21690755,-0.0013836389,-0.0012504086,-0.006774536,-0.0029811924,-0.033377696,-0.0057833367,-0.00053757546
BV*BT,-0.8364865277751299,0.054807182,1.3624672780699607e-52,-4.86268e-07,0.00036025824,-0.00018051593,1.1200621e-05,-0.00023084307,6.2712e-06,2.1282467e-05,-0.0011914676,1.3084561e-06,6.0427974e-05,-3.3050223e-05,-2.0096824e-05,-3.56724e-05,-7.770068e-06,-4.396534e-05,-3.5605128e-05,0.0012427319,-0.00018990375,-0.00015772243,0.0002917104,-0.00012369576,-0.00024241183,7.034587e-05,0.00017953943,0.00015839149,0.00074294896,0.00012355308,0.0005160702,0.0003173497,-0.00039073415,0.0007967084,-0.0006879197,-4.291608e-05,7.1035145e-05,-1.1539429e-05,-2.3372695e-05,-3.054299e-05,-3.1469663e-05,9.7168966e-05,-2.1627175e-05,-5.9623155e-05,0.00073660526,0.00014031977,0.0002420306,0.0003714955,-0.00013768284,0.0013711412,-0.0003671943,-0.0003058442,0.000119676544,-1.6752605e-05,-0.00047962702,-4.2882966e-05,5.0094397e-05,-3.7995673e-05,-6.624515e-05,-0.00030712687,8.532332e-05,-3.1156516e-05,6.793175e-05,-6.900616e-05,2.5485851e-06,-3.3764714e-05,6.1915904e-05,-0.0013836389,0.0030038273,0.000952547,-0.001441196,0.0012962243,0.0020096162,0.0014161967,0.0009627573
BV*BU,-0.9363983694849555,0.12423858,4.8054481349968424e-14,2.5689127e-07,-1.5759737e-05,-0.00014540133,1.7428676e-05,-0.00023098035,4.101825e-05,1.6621068e-05,-0.0013789773,-5.6130368e-08,-3.4199435e-05,0.00012493253,0.00020321943,-5.1795712e-05,0.00016605406,-0.00023397022,-4.934559e-05,-0.003239693,-2.6241369e-05,0.00021120174,-1.0252653e-05,2.408935e-05,-0.00017946436,0.0016654565,9.331994e-05,0.00028607994,-0.0002652032,0.00014434042,0.0033011006,0.0008999887,0.00026619434,0.002029149,0.0030369952,-0.00013164223,-3.9011364e-05,0.00014542993,-3.5832472e-05,-0.00013684183,0.00040612108,0.0003016159,3.0571133e-05,0.003155003,0.0002449574,0.001986269,-0.003979615,0.00041864486,-0.00048180617,-0.0026909714,-0.0007477204,-0.00055631925,-8.770513e-05,0.0005058424,0.0025984384,-0.00011802123,-0.00082448515,-0.0006218406,-0.00014597965,0.00012755064,-0.00011271229,0.00017501733,0.0012988822,-0.00022371099,0.00015646344,-5.147161e-05,0.00016752393,-0.0012504086,0.000952547,0.015435225,-0.0017455242,-0.0011619846,-0.007277527,-0.0007505439,0.0010424015
BV*CS,-0.13061543813451518,0.19537875,0.5037989899569266,6.2227955e-06,-0.00031332523,-0.00014100417,-1.6840556e-06,-0.00017578308,-6.951545e-05,-2.35919e-05,3.5661353e-05,-1.3546034e-05,-4.979968e-05,8.824884e-06,0.00039660194,-4.6662237e-05,-4.7437283e-05,-0.00020711099,5.5961267e-05,0.0033861022,0.0003388154,6.6276196e-05,0.0012998335,-6.2753934e-05,-0.00016968728,-0.00074837613,2.374407e-05,-0.0011006925,-0.00032390823,9.7023854e-05,0.011214196,-0.00016695079,-0.00056993315,-0.00094347005,0.0003463026,0.0002947364,-1.4752414e-05,1.8984701e-05,5.7160864e-06,6.9951755e-05,0.00038307376,-4.905528e-05,0.00014093462,-0.000149677,-0.00025785167,-0.00028709826,0.0073138685,0.00024221266,0.000753993,-0.0005141924,0.0006676156,-0.00070442335,-7.6288256e-05,3.4939374e-05,0.0050706454,6.254005e-05,0.00032603144,-0.00084182085,-1.1316365e-05,-0.00057238864,-2.5467378e-05,-5.47501e-05,0.0014338405,-6.235099e-05,-7.0407314e-06,2.2288294e-05,8.082559e-05,-0.006774536,-0.001441196,-0.0017455242,0.038172856,0.0011464311,-0.0068832813,-0.0019381833,-0.0003140312
BV*CD,-0.8330840565221701,0.11083399,5.626057234815592e-14,-9.228184e-06,-0.00014315835,-0.0005835381,-6.0927555e-06,0.0006100784,2.3194152e-06,-3.054114e-05,-0.0013233575,2.0443847e-05,-1.0405065e-05,-8.019144e-05,-0.0001963235,0.0002655315,-7.7576005e-05,6.418627e-05,4.7744293e-06,-0.00038516722,0.00013531475,-0.00012205188,-5.1123276e-05,0.000555566,3.9827475e-05,3.102312e-05,-2.3613276e-05,0.0017861099,0.00053802785,0.00031438723,-0.0042536682,0.0040372745,0.00059585867,0.00055266125,0.00056718517,-0.000109263536,-3.9751718e-05,5.783189e-06,1.131727e-05,0.00039711702,-0.00044526602,-0.00011503132,0.00023741912,-0.0014196056,-0.0005510228,0.000708545,-0.004236974,-0.00015403557,-0.0027251083,-0.0034870312,0.0039424323,-0.0005747456,-6.2871204e-06,-6.5387314e-05,-0.0016569382,0.00034921497,0.00014461846,0.00019100371,9.265773e-05,-0.0004891974,1.0894137e-05,5.225338e-05,-0.00071977626,0.00071077555,-2.6258397e-07,3.797569e-06,0.0004363594,-0.0029811924,0.0012962243,-0.0011619846,0.0011464311,0.012284174,0.0040756217,0.003787053,0.0005594041
