Treatments,Time,CA,BT,BU,CS,CD,DP,CH,BV
MS008-CS-CH-DP,12.0,0.0,0.0,0.0,0.02824350985099074,0.39905392268010204,0.2028825348405278,0.0484867139617127,0.0
MS008-CS-CH-DP,24.0,0.0,0.0,0.0,0.015896346378437894,0.1824704987732925,0.178448506654441,0.03935130652716196,0.0
MS008-CS-CH-DP-BT-BU-BV-CA,0.0,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125
MS008-CS-CH-DP-BT-BU-BV-CA,12.0,0.0049816485591212,0.4442917906260648,0.17825679424175736,0.015608434608013455,0.14908918663850346,0.05676863689449118,0.1291010276155625,0.2189024528164861
MS008-CS-CH-DP-BT-BU-BV-CA,24.0,0.06456115574828836,0.4173083335122813,0.1192385248711803,0.014458490120037927,0.013155744288733956,0.10917949766978104,0.20449709578096775,0.07276782334206273
MS008-CS-CH-DP-BV,0.0,0.0,0.0,0.0,0.002,0.002,0.002,0.002,0.002
MS008-CS-CH-DP-BV,12.0,0.0,0.0,0.0,0.01701706278858428,0.2806977952207573,0.029284140325549383,0.14049104974577883,0.5810099682526636
MS008-CS-CH-DP-BV,24.0,0.0,0.0,0.0,0.018798237897227756,0.17394516272065053,0.052528950021270955,0.227386023146153,0.21617497221469772
MS008-CS-DP-BT,0.0,0.0,0.0025,0.0,0.0025,0.0025,0.0025,0.0,0.0
MS008-CS-DP-BT,12.0,0.0,0.9413931838614591,0.0,0.03893379035912029,0.26122725252575707,0.03861240425366363,0.0,0.0
MS008-CS-DP-BT,24.0,0.0,0.9790113714279215,0.0,0.05358195694763421,0.043930033232091874,0.08097661205901907,0.0,0.0
MS008-CS-DP-BT-BU-BV,0.0,0.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0,0.0016666666666666666
MS008-CS-DP-BT-BU-BV,12.0,0.0,0.6275895362227221,0.14546528824024596,0.0391149414733312,0.3025214587431999,0.028678358992536318,0.0,0.19729710299463113
MS008-CS-DP-BT-BU-BV,24.0,0.0,0.7576068639296599,0.1407575703124293,0.044890656504483706,0.03759100556609862,0.09240841585201019,0.0,0.08591215650198486
MS008-CS-DP-BU,0.0,0.0,0.0,0.0025,0.0025,0.0025,0.0025,0.0,0.0
MS008-CS-DP-BU,12.0,0.0,0.0,0.47805293902725615,0.03358860371618644,0.5149248707435689,0.051100241512988476,0.0,0.0
MS008-CS-DP-BU,24.0,0.0,0.0,0.4110160654532413,0.034660536727310155,0.1008278937341315,0.12649547241865036,0.0,0.0
MS008-CS-DP-BU-BV-CA,0.0,0.0016666666666666666,0.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0,0.0016666666666666666
MS008-CS-DP-BU-BV-CA,12.0,0.004513521478939246,0.0,0.22572948373445004,0.07083206809510952,0.20502455425951896,0.04540157330280096,0.0,0.36749880879584795
MS008-CS-DP-BU-BV-CA,24.0,0.10388510230776042,0.0,0.23273291812405314,0.05569756341650391,0.08642652754936259,0.10574490564041637,0.0,0.13701297762857026
MS008-CS-DP-CA,0.0,0.0025,0.0,0.0,0.0025,0.0025,0.0025,0.0,0.0
MS008-CS-DP-CA,12.0,0.0012705977406468358,0.0,0.0,0.017901724457574385,0.6357325025500425,0.06459516058506949,0.0,0.0
MS008-CS-DP-CA,24.0,0.0336594770482166,0.0,0.0,0.015985969144936673,0.3423506092457675,0.12517059856107923,0.0,0.0
MS008-DP,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.0
MS008-DP,12.0,0.0,0.0,0.0,0.0,0.6463438950212802,0.11748942897871979,0.0,0.0
MS008-DP,24.0,0.0,0.0,0.0,0.0,0.2901977696311498,0.10813555136885027,0.0,0.0
MS008-DP-BT-BU,0.0,0.0,0.0025,0.0025,0.0,0.0025,0.0025,0.0,0.0
MS008-DP-BT-BU,12.0,0.0,0.7553093112344259,0.16355805511590552,0.0,0.2171982091722453,0.03876777714408983,0.0,0.0
MS008-DP-BT-BU,24.0,0.0,0.7428218761830729,0.19655862676477118,0.0,0.02870365846224436,0.07108246325657813,0.0,0.0
MS008-DP-BT-BU-BV-CA,0.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0,0.0016666666666666666,0.0016666666666666666,0.0,0.0016666666666666666
MS008-DP-BT-BU-BV-CA,12.0,0.003568099191947307,0.752346990871891,0.12627726537473352,0.0,0.30708727500808114,0.041542161076674536,0.0,0.1420115844766724
MS008-DP-BT-BU-BV-CA,24.0,0.06509326295335825,0.7716361776155108,0.15567917153771968,0.0,0.055670697143088144,0.10337735859821746,0.0,0.055543324485438916
MS008-DP-BU-CA,0.0,0.0025,0.0,0.0025,0.0,0.0025,0.0025,0.0,0.0
MS008-DP-BU-CA,12.0,0.0061650358057177826,0.0,0.4693275770476355,0.0,0.4157557805397414,0.04941827727357201,0.0,0.0
MS008-DP-BU-CA,24.0,0.12385490323625208,0.0,0.42866311222535974,0.0,0.04236341752073882,0.192451866684316,0.0,0.0
CH-DP-BT-BU,0.0,0.0,0.0025,0.0025,0.0,0.0,0.0025,0.0025,0.0
CH-DP-BT-BU,12.0,0.0,0.7266391781470052,0.3167870198766664,0.0,0.0,0.036657965286249004,0.11141581502341284,0.0
CH-DP-BT-BU,24.0,0.0,0.6339901759318601,0.21176604350339567,0.0,0.0,0.06483991474597232,0.10673719715210517,0.0
CH-DP-BU-CA,0.0,0.0025,0.0,0.0025,0.0,0.0,0.0025,0.0025,0.0
