Treatments,Time,CA,BT,BU,CS,CD,DP,CH,BV
MS001-CS-CA,12.0,0.004125720168418909,0.0,0.0,0.025963510333679347,0.6967441251645684,0.0,0.0,0.0
MS001-CS-CA,24.0,0.04951932743339105,0.0,0.0,0.017283986142508773,0.3470300090907668,0.0,0.0,0.0
MS001-CS-CH-CA,0.0,0.0025,0.0,0.0,0.0025,0.0025,0.0,0.0025,0.0
MS001-CS-CH-CA,12.0,0.010892070233262748,0.0,0.0,0.03718817307169962,0.5095466177979163,0.0,0.04870644189712131,0.0
MS001-CS-CH-CA,24.0,0.1482152866264839,0.0,0.0,0.030910714150861357,0.2648616416370703,0.0,0.03134567825225112,0.0
MS001-CS-CH-DP,0.0,0.0,0.0,0.0,0.0025,0.0025,0.0025,0.0025,0.0
MS001-CS-CH-DP,12.0,0.0,0.0,0.0,0.026515286966248202,0.46822335481467525,0.18490241461093213,0.046692266274811135,0.0
MS001-CS-CH-DP,24.0,0.0,0.0,0.0,0.011491688027926024,0.20374054778088668,0.15367289931294006,0.024761502544913938,0.0
MS001-CS-CH-DP-BT-BU-BV-CA,0.0,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125
MS001-CS-CH-DP-BT-BU-BV-CA,12.0,0.0024992952927550692,0.5203081107530436,0.17453986676245536,0.011554124137623656,0.18182472573346234,0.03666738215249233,0.12978288855527706,0.13765696227955718
MS001-CS-CH-DP-BT-BU-BV-CA,24.0,0.05545195218629225,0.5048113027727187,0.1386828546160019,0.011662782975681194,0.014313016853359282,0.12071584590444284,0.15248883305433572,0.08854005763716812
MS001-CS-CH-DP-BU,0.0,0.0,0.0,0.002,0.002,0.002,0.002,0.002,0.0
MS001-CS-CH-DP-BU,12.0,0.0,0.0,0.5820198738606365,0.010295882910595548,0.3792012903282726,0.05914910607603657,0.06700055482445895,0.0
MS001-CS-CH-DP-BU,24.0,0.0,0.0,0.391822362857078,0.007091171549145151,0.035875486669522665,0.10193676345816531,0.14944088679942213,0.0
MS001-CS-CH-DP-BU-BV,0.0,0.0,0.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666
MS001-CS-CH-DP-BU-BV,12.0,0.0,0.0,0.2933086739648552,0.014142671203943141,0.19929652561035535,0.055680330976880486,0.11189032223171609,0.4571814196789164
MS001-CS-CH-DP-BU-BV,24.0,0.0,0.0,0.25833975420491523,0.015358382307418731,0.04431241021988106,0.11581064315630026,0.22175550759711152,0.10242328151437323
MS001-CS-DP-BT,0.0,0.0,0.0025,0.0,0.0025,0.0025,0.0025,0.0,0.0
MS001-CS-DP-BT,12.0,0.0,1.0161551889747342,0.0,0.02739917416243486,0.27621616549293104,0.04406275703656657,0.0,0.0
MS001-CS-DP-BT,24.0,0.0,0.8797713411653234,0.0,0.0484900859804496,0.026232950007514504,0.08067226618004589,0.0,0.0
MS001-CS-DP-BU,0.0,0.0,0.0,0.0025,0.0025,0.0025,0.0025,0.0,0.0
MS001-CS-DP-BU,12.0,0.0,0.0,0.4808015875855544,0.02197742233033889,0.6073882468565576,0.06283276856088256,0.0,0.0
MS001-CS-DP-BU,24.0,0.0,0.0,0.4081701195344625,0.035943278357314784,0.0930494237620485,0.1673371460128408,0.0,0.0
MS001-CS-DP-BU-BV,0.0,0.0,0.0,0.002,0.002,0.002,0.002,0.0,0.002
MS001-CS-DP-BU-BV,12.0,0.0,0.0,0.19544398647428954,0.03703155992371774,0.2662785941767447,0.048366140916273705,0.0,0.4603797485089743
MS001-CS-DP-BU-BV,24.0,0.0,0.0,0.23049184121365007,0.05781898442620335,0.12075745123781234,0.13385310243604853,0.0,0.2419119403529524
MS001-CS-DP-BU-CA,0.0,0.002,0.0,0.002,0.002,0.002,0.002,0.0,0.0
MS001-CS-DP-BU-CA,12.0,0.0014618666678433041,0.0,0.4775336225761097,0.016677254949782092,0.5485164634018534,0.036644155404411474,0.0,0.0
MS001-CS-DP-BU-CA,24.0,0.05103050689764541,0.0,0.4106090225135457,0.0168308211424243,0.1323182550255295,0.13671136975418832,0.0,0.0
MS001-CS-DP-BV-CA,0.0,0.002,0.0,0.0,0.002,0.002,0.002,0.0,0.002
MS001-CS-DP-BV-CA,12.0,0.0,0.0,0.0,0.028271138173981723,0.5764069471033156,0.033670268687724964,0.0,0.47531832703497773
MS001-CS-DP-BV-CA,24.0,0.053246226275694496,0.0,0.0,0.049256602901924997,0.18504280136711662,0.11103566712544666,0.0,0.3910853626631506
MS001-CS-DP-CA,0.0,0.0025,0.0,0.0,0.0025,0.0025,0.0025,0.0,0.0
MS001-CS-DP-CA,12.0,0.0023787095753957364,0.0,0.0,0.01602347971744553,0.6073676842758289,0.09623011676466325,0.0,0.0
MS001-CS-DP-CA,24.0,0.03363868020601624,0.0,0.0,0.009896862281115264,0.3186876111284571,0.09794351705107805,0.0,0.0
MS001-DP,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.0
MS001-DP,12.0,0.0,0.0,0.0,0.0,0.7169528606719755,0.1787138306613579,0.0,0.0
MS001-DP,24.0,0.0,0.0,0.0,0.0,0.29730996566999895,0.1388566956633344,0.0,0.0
MS001-DP-BT-BU-BV-CA,0.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0,0.0016666666666666666,0.0016666666666666666,0.0,0.0016666666666666666
MS001-DP-BT-BU-BV-CA,12.0,0.002083208601911003,0.6474465253985026,0.14439086785647756,0.0,0.20369978326222515,0.04572947078473632,0.0,0.16431682676281387
MS001-DP-BT-BU-BV-CA,24.0,0.07097796256468139,0.7109626414941209,0.1307145003141483,0.0,0.039200101379062005,0.1292834816563786,0.0,0.037528003591608655
MS001-DP-BT-CA,0.0,0.0025,0.0025,0.0,0.0,0.0025,0.0025,0.0,0.0
MS001-DP-BT-CA,12.0,0.003862515071431793,0.867330550271132,0.0,0.0,0.24420976597520846,0.03226382901556119,0.0,0.0
MS001-DP-BT-CA,24.0,0.039202507426776084,0.9885203612938547,0.0,0.0,0.03492436916333252,0.08535273678270348,0.0,0.0
MS001-DP-BU-CA,0.0,0.0025,0.0,0.0025,0.0,0.0025,0.0025,0.0,0.0
MS001-DP-BU-CA,12.0,0.0029123668698296484,0.0,0.47084668830709275,0.0,0.6339641579372234,0.0512767738858541,0.0,0.0
MS001-DP-BU-CA,24.0,0.06253150225255094,0.0,0.45511714213674453,0.0,0.16212028858854546,0.14473102935549242,0.0,0.0
CH-DP-BT-BU,0.0,0.0,0.0025,0.0025,0.0,0.0,0.0025,0.0025,0.0
CH-DP-BT-BU,12.0,0.0,0.7266391781470052,0.3167870198766664,0.0,0.0,0.036657965286249004,0.11141581502341284,0.0
CH-DP-BT-BU,24.0,0.0,0.6339901759318601,0.21176604350339567,0.0,0.0,0.06483991474597232,0.10673719715210517,0.0
CH-DP-BU-CA,0.0,0.0025,0.0,0.0025,0.0,0.0,0.0025,0.0025,0.0
CH-DP-BU-CA,12.0,0.002390738531441157,0.0,0.8907962162212,0.0,0.0,0.055983932138030656,0.1423290627759949,0.0
CH-DP-BU-CA,24.0,0.01914332786673811,0.0,0.4571509190075828,0.0,0.0,0.08822533486616996,0.13714707892617584,0.0
CH-DP-BV-CA,0.0,0.0025,0.0,0.0,0.0,0.0,0.0025,0.0025,0.0025
CH-DP-BV-CA,12.0,0.0021333147793892284,0.0,0.0,0.0,0.0,0.0372474810761883,0.23518700357571906,0.7864322299020367
CH-DP-BV-CA,24.0,0.03639495499307067,0.0,0.0,0.0,0.0,0.04904598760143583,0.3422311404617775,0.43466125661038263
CS-BT-BU-BV,0.0,0.0,0.0025,0.0025,0.0025,0.0,0.0,0.0,0.0025
CS-BT-BU-BV,12.0,0.0,0.9226500007173413,0.1274669641216333,0.15787563869741053,0.0,0.0,0.0,0.16800739379694818
CS-BT-BU-BV,24.0,0.0,0.7511902908194625,0.09957276288804158,0.1499757877039886,0.0,0.0,0.0,0.161094477255174
CS-BT-BU-CA,0.0,0.0025,0.0025,0.0025,0.0025,0.0,0.0,0.0,0.0
CS-BT-BU-CA,12.0,0.005378580931325008,1.1348641264663988,0.24910159246163532,0.13098903980730744,0.0,0.0,0.0,0.0
CS-BT-BU-CA,24.0,0.07765433712250448,0.8380836003230359,0.15873907857373346,0.1318562859807262,0.0,0.0,0.0,0.0
CS-BT-BV-CA,0.0,0.0025,0.0025,0.0,0.0025,0.0,0.0,0.0,0.0025
CS-BT-BV-CA,12.0,0.008888957948384846,0.938768145131835,0.0,0.15882391051507236,0.0,0.0,0.0,0.27168561240470784
CS-BT-BV-CA,24.0,0.08729707734668728,0.7937678247416654,0.0,0.1537480560177169,0.0,0.0,0.0,0.19518706356059712
CS-CH-BT-BU,0.0,0.0,0.0025,0.0025,0.0025,0.0,0.0,0.0025,0.0
CS-CH-BT-BU,12.0,0.0,0.729674451829491,0.2885479184927666,0.01957690095572671,0.0,0.0,0.1302007813886822,0.0
CS-CH-BT-BU,24.0,0.0,0.5641571044095368,0.16507729941282218,0.02626616935107695,0.0,0.0,0.22899939049323068,0.0
CS-CH-BT-BU-BV-CA,0.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0,0.0,0.0016666666666666666,0.0016666666666666666
CS-CH-BT-BU-BV-CA,12.0,0.0016433451005133002,0.5333484271354975,0.1839209108753519,0.018581876370426954,0.0,0.0,0.1398600586197487,0.17414542423179502
CS-CH-BT-BU-BV-CA,24.0,0.05906089629758263,0.4574309835406763,0.09823270748620594,0.022364417898552962,0.0,0.0,0.19434806698887278,0.12122959045477605
CS-CH-BT-BU-CA,0.0,0.002,0.002,0.002,0.002,0.0,0.0,0.002,0.0
CS-CH-BT-BU-CA,12.0,0.0011526580902791739,0.6228762559459496,0.2348199666539096,0.01429768535214391,0.0,0.0,0.10018675295771766,0.0
CS-CH-BT-BU-CA,24.0,0.028440944330374276,0.5574777936885481,0.16953215667757063,0.018645984575812905,0.0,0.0,0.13490312272769414,0.0
CS-CH-BT-CA,0.0,0.0025,0.0025,0.0,0.0025,0.0,0.0,0.0025,0.0
CS-CH-BT-CA,12.0,0.008189230470975617,0.910666336634178,0.0,0.02385580368070971,0.0,0.0,0.10012195721413664,0.0
CS-CH-BT-CA,24.0,0.0556751956445031,0.7452632632198698,0.0,0.021738320842875847,0.0,0.0,0.1479898892927514,0.0
CS-CH-BU-BV,0.0,0.0,0.0,0.0025,0.0025,0.0,0.0,0.0025,0.0025
CS-CH-BU-BV,12.0,0.0,0.0,0.32517204554428397,0.025204028071444114,0.0,0.0,0.27466826093732705,0.4429556641136115
CS-CH-BU-BV,24.0,0.0,0.0,0.17834290594597446,0.018295242734050688,0.0,0.0,0.257695827124943,0.40799933952836515
CS-CH-BV-CA,0.0,0.0025,0.0,0.0,0.0025,0.0,0.0,0.0025,0.0025
CS-CH-BV-CA,12.0,0.0035369122366153277,0.0,0.0,0.02996517177073037,0.0,0.0,0.279172454859032,0.9544921451336222
CS-CH-BV-CA,24.0,0.04036847965968575,0.0,0.0,0.017771743126317192,0.0,0.0,0.23000454165669115,0.7240218872239725
CS-CH-DP-BT-BU,0.0,0.0,0.002,0.002,0.002,0.0,0.002,0.002,0.0
CS-CH-DP-BT-BU,12.0,0.0,0.7269759120040368,0.2804272282988829,0.023756150593433573,0.0,0.02885463526864056,0.14915271983500614,0.0
CS-CH-DP-BT-BU,24.0,0.0,0.6373917630227731,0.18148118618203601,0.016577106743153647,0.0,0.061849359015402915,0.12720058003663434,0.0
CS-CH-DP-BT-BU-BV-CA,0.0,0.0014285714285714286,0.0014285714285714286,0.0014285714285714286,0.0014285714285714286,0.0,0.0014285714285714286,0.0014285714285714286,0.0014285714285714286
CS-CH-DP-BT-BU-BV-CA,12.0,0.0005661340764109437,0.5057768922410563,0.20422212691263333,0.020995489744987342,0.0,0.021262168179430264,0.1323303485321015,0.16534686564671372
CS-CH-DP-BT-BU-BV-CA,24.0,0.028167986968771753,0.5420046876967496,0.15669683684062777,0.019129117032601253,0.0,0.063880382940612,0.19613279909377954,0.06398823409352473
CS-CH-DP-BT-BU-CA,0.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0,0.0016666666666666666,0.0016666666666666666,0.0
CS-CH-DP-BT-BU-CA,12.0,0.0014598328664446863,0.6789049054944418,0.2794180074442474,0.020904978163938687,0.0,0.02715068396903814,0.13832826472855597,0.0
CS-CH-DP-BT-BU-CA,24.0,0.032664327766958295,0.5594465275768804,0.17829582509135858,0.01702908370666943,0.0,0.06782447672906895,0.1594064281290643,0.0
CS-CH-DP-BU,0.0,0.0,0.0,0.0025,0.0025,0.0,0.0025,0.0025,0.0
CS-CH-DP-BU,12.0,0.0,0.0,0.7749107343060381,0.027589322419950144,0.0,0.06632129123995419,0.15451199803405768,0.0
CS-CH-DP-BU,24.0,0.0,0.0,0.5274354033810065,0.018122164601674238,0.0,0.147277070594556,0.21816534742276328,0.0
CS-CH-DP-BU-BV,0.0,0.0,0.0,0.002,0.002,0.0,0.002,0.002,0.002
CS-CH-DP-BU-BV,12.0,0.0,0.0,0.23647477437921283,0.015030576501643057,0.0,0.025091593988211657,0.14732414612912242,0.6592455580018101
CS-CH-DP-BU-BV,24.0,0.0,0.0,0.3968715858961131,0.024735640731178562,0.0,0.10193526040208324,0.29653902059768805,0.2122518290396037
CS-CH-DP-BU-BV-CA,0.0,0.0016666666666666666,0.0,0.0016666666666666666,0.0016666666666666666,0.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666
CS-CH-DP-BU-BV-CA,12.0,0.0015197509765933037,0.0,0.22669261490544942,0.021246381426698324,0.0,0.02894730335306266,0.17292570836283003,0.7210015513086997
CS-CH-DP-BU-BV-CA,24.0,0.0485418586517987,0.0,0.33996812919318736,0.020527735832721803,0.0,0.10440803665504923,0.25743552819955856,0.1959520324676843
CS-CH-DP-BV-CA,0.0,0.002,0.0,0.0,0.002,0.0,0.002,0.002,0.002
CS-CH-DP-BV-CA,12.0,0.0017072149801151317,0.0,0.0,0.022411958423205394,0.0,0.03112066224163046,0.19000658391199976,0.8702535634430492
CS-CH-DP-BV-CA,24.0,0.02866820310421407,0.0,0.0,0.014859868125507722,0.0,0.06355303225311916,0.25930770816443854,0.44277785601938713
CS-CH-DP-CA,0.0,0.0025,0.0,0.0,0.0025,0.0,0.0025,0.0025,0.0
CS-CH-DP-CA,12.0,0.02601727735102051,0.0,0.0,0.10418629251600366,0.0,0.32580810307512187,0.12682166672452064,0.0
CS-CH-DP-CA,24.0,0.22017248730159897,0.0,0.0,0.05837376893577089,0.0,0.3480392343710503,0.1504145370582466,0.0
CS-DP-BT-BU,0.0,0.0,0.0025,0.0025,0.0025,0.0,0.0025,0.0,0.0
CS-DP-BT-BU,12.0,0.0,1.1688506097704365,0.2838151913251763,0.090692196314538,0.0,0.05730864458984938,0.0,0.0
CS-DP-BT-BU,24.0,0.0,0.848294381748102,0.17740328107911207,0.09136279233128941,0.0,0.1386062205081632,0.0,0.0
CS-DP-BT-BU-BV,0.0,0.0,0.002,0.002,0.002,0.0,0.002,0.0,0.002
CS-DP-BT-BU-BV,12.0,0.0,0.8458423328701445,0.13614267275203973,0.11916869901435234,0.0,0.042797039146823805,0.0,0.15488254688330627
CS-DP-BT-BU-BV,24.0,0.0,0.7948555118720889,0.12388072619735192,0.14886071978975832,0.0,0.11376325323639495,0.0,0.11247310690440582
CS-DP-BT-BU-BV-CA,0.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0,0.0016666666666666666,0.0,0.0016666666666666666
CS-DP-BT-BU-BV-CA,12.0,0.0022189757330070034,0.7068609003776332,0.14870931235741902,0.117716613698899,0.0,0.04047855549700408,0.0,0.13618231700270453
CS-DP-BT-BU-BV-CA,24.0,0.05572936814934284,0.7159190762522883,0.1075717127110224,0.1482383235171806,0.0,0.14585982771929465,0.0,0.08518167398420458
CS-DP-BT-BV,0.0,0.0,0.0025,0.0,0.0025,0.0,0.0025,0.0,0.0025
CS-DP-BT-BV,12.0,0.0,0.9221378338832772,0.0,0.11915330917452233,0.0,0.06662305617186509,0.0,0.25541916510366885
CS-DP-BT-BV,24.0,0.0,0.8036873972291525,0.0,0.1138050269426665,0.0,0.20339010449143724,0.0,0.15586742783674368
CS-DP-BT-BV-CA,0.0,0.002,0.002,0.0,0.002,0.0,0.002,0.0,0.002
CS-DP-BT-BV-CA,12.0,0.0028501871624506854,0.8846399240832534,0.0,0.10838948385960993,0.0,0.04920227272726226,0.0,0.24525150216742364
CS-DP-BT-BV-CA,24.0,0.03874562251661725,0.8946848473547625,0.0,0.15955958979159843,0.0,0.18399838284770578,0.0,0.18801153382264943
CS-DP-BU-BV-CA,0.0,0.002,0.0,0.002,0.002,0.0,0.002,0.0,0.002
CS-DP-BU-BV-CA,12.0,0.005975528811620007,0.0,0.2991633973368382,0.18786200002716438,0.0,0.07900594754406243,0.0,0.5809931236136482
CS-DP-BU-BV-CA,24.0,0.06115774321725951,0.0,0.29556964660892016,0.16076947556094956,0.0,0.272005745417208,0.0,0.3146640581956628
CS-DP-BU-CA,0.0,0.0025,0.0,0.0025,0.0025,0.0,0.0025,0.0,0.0
CS-DP-BU-CA,12.0,0.007604439324851529,0.0,0.8180935141706226,0.13023116523499692,0.0,0.1559042349361957,0.0,0.0
CS-DP-BU-CA,24.0,0.05263889127122798,0.0,0.5516985518131604,0.10937233914943902,0.0,0.22395689976617258,0.0,0.0
DP-BT-BU-BV,0.0,0.0,0.0025,0.0025,0.0,0.0,0.0025,0.0,0.0025
DP-BT-BU-BV,12.0,0.0,0.8860740154255038,0.19269046659664005,0.0,0.0,0.05838224814022875,0.0,0.16168661050429406
DP-BT-BU-BV,24.0,0.0,0.7969858178020286,0.16150801723905486,0.0,0.0,0.22614683155732543,0.0,0.11469271940159109
DP-BT-BU-BV-CA,0.0,0.002,0.002,0.002,0.0,0.0,0.002,0.0,0.002
DP-BT-BU-BV-CA,12.0,0.002823197084113585,0.9254251732443329,0.1735887234799632,0.0,0.0,0.05767244579975197,0.0,0.17915713805850483
DP-BT-BU-BV-CA,24.0,0.06493703239785617,0.7721756729102017,0.13642569856882,0.0,0.0,0.21781155549282186,0.0,0.12365001129696694
DP-BT-BV-CA,0.0,0.0025,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0025
DP-BT-BV-CA,12.0,0.0010863749211185243,1.0270913012226492,0.0,0.0,0.0,0.05682111921556742,0.0,0.16250118697399815
DP-BT-BV-CA,24.0,0.028416419779651685,0.9022063544959277,0.0,0.0,0.0,0.1748807297655813,0.0,0.12049649929217282
MonocultureBT,0.0,0.0,0.022933339079221033,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBT,3.0,0.0,0.17203332980473798,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBT,6.0,0.0,0.4701000054677323,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBT,9.0,0.0,0.8115333318710327,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBT,12.0,0.0,0.7038999994595839,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBT,15.0,0.0,0.6284333467483513,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBT,18.0,0.0,0.6214333176612851,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBT,21.0,0.0,0.6240333318710324,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBT,24.0,0.0,0.6588000059127803,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBU,0.0,0.0,0.0,0.02329999705155683,0.0,0.0,0.0,0.0,0.0
MonocultureBU,3.0,0.0,0.0,0.09560000399748474,0.0,0.0,0.0,0.0,0.0
MonocultureBU,6.0,0.0,0.0,0.2873000055551523,0.0,0.0,0.0,0.0,0.0
MonocultureBU,9.0,0.0,0.0,0.6986999859412507,0.0,0.0,0.0,0.0,0.0
MonocultureBU,12.0,0.0,0.0,0.801566655437151,0.0,0.0,0.0,0.0,0.0
MonocultureBU,15.0,0.0,0.0,0.722433323661486,0.0,0.0,0.0,0.0,0.0
MonocultureBU,18.0,0.0,0.0,0.694033339619636,0.0,0.0,0.0,0.0,0.0
MonocultureBU,21.0,0.0,0.0,0.6757000039021169,0.0,0.0,0.0,0.0,0.0
MonocultureBU,24.0,0.0,0.0,0.721600010991096,0.0,0.0,0.0,0.0,0.0
MonocultureBV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021500001351038567
MonocultureBV,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.218500008185704
MonocultureBV,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.840366681416829
MonocultureBV,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9480999906857802
MonocultureBV,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9251666665077204
MonocultureBV,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9111333489418026
MonocultureBV,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8824999928474421
MonocultureBV,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8614666859308873
MonocultureBV,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8429666558901466
MonocultureCA,0.0,0.025200001895427666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureCA,3.0,0.028833332161108602,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureCA,6.0,0.05146666119496024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureCA,9.0,0.10116666307051964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureCA,12.0,0.26256666829188635,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureCA,15.0,0.5723999862869577,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureCA,18.0,0.7620666747291877,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureCA,21.0,0.7898000205556547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureCA,24.0,0.7671999856829638,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureCH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026666676004727635,0.0
