No,Time,Replicate,media,OD,Strain
72,12,1,DM29,0.155699998,Strain 289
73,12,1,DM29 + Glucose,0.689299971,Strain 289
74,12,1,DM29 + Galactose,0.245299995,Strain 289
75,12,1,DM29 + Mucin Type II,-0.00819999,Strain 289
76,12,1,DM29 + GlcNAc,0.562499985,Strain 289
77,12,1,DM29 + Sialic Acid,0.601999976,Strain 289
78,12,2,DM29,0.184199989,Strain 289
79,12,2,DM29 + Glucose,0.727899998,Strain 289
80,12,2,DM29 + Galactose,0.28640002,Strain 289
81,12,2,DM29 + Mucin Type II,-0.004199982,Strain 289
82,12,2,DM29 + GlcNAc,0.563700005,Strain 289
83,12,2,DM29 + Sialic Acid,0.61249999,Strain 289
84,12,3,DM29,0.192400008,Strain 289
85,12,3,DM29 + Glucose,0.726500005,Strain 289
86,12,3,DM29 + Galactose,0.238299996,Strain 289
87,12,3,DM29 + Mucin Type II,-0.003199995,Strain 289
88,12,3,DM29 + GlcNAc,0.563299999,Strain 289
89,12,3,DM29 + Sialic Acid,0.594300009,Strain 289
90,15,1,DM29,0.161500007,Strain 289
91,15,1,DM29 + Glucose,0.578200013,Strain 289
92,15,1,DM29 + Galactose,0.226900011,Strain 289
93,15,1,DM29 + Mucin Type II,0.024200022,Strain 289
94,15,1,DM29 + GlcNAc,0.531899974,Strain 289
95,15,1,DM29 + Sialic Acid,0.499699987,Strain 289
96,15,2,DM29,0.188300013,Strain 289
97,15,2,DM29 + Glucose,0.613299996,Strain 289
98,15,2,DM29 + Galactose,0.281900018,Strain 289
99,15,2,DM29 + Mucin Type II,0.021200001,Strain 289
100,15,2,DM29 + GlcNAc,0.528299972,Strain 289
101,15,2,DM29 + Sialic Acid,0.503500022,Strain 289
102,15,3,DM29,0.194400012,Strain 289
103,15,3,DM29 + Glucose,0.617599994,Strain 289
104,15,3,DM29 + Galactose,0.234400004,Strain 289
105,15,3,DM29 + Mucin Type II,0.009300023,Strain 289
106,15,3,DM29 + GlcNAc,0.526199982,Strain 289
107,15,3,DM29 + Sialic Acid,0.501199998,Strain 289
108,18,1,DM29,0.138399988,Strain 289
109,18,1,DM29 + Glucose,0.524499983,Strain 289
110,18,1,DM29 + Galactose,0.219799995,Strain 289
111,18,1,DM29 + Mucin Type II,0.210500032,Strain 289
112,18,1,DM29 + GlcNAc,0.513899967,Strain 289
113,18,1,DM29 + Sialic Acid,0.451400019,Strain 289
114,18,2,DM29,0.1884,Strain 289
115,18,2,DM29 + Glucose,0.554599971,Strain 289
116,18,2,DM29 + Galactose,0.273800016,Strain 289
117,18,2,DM29 + Mucin Type II,0.226300031,Strain 289
118,18,2,DM29 + GlcNAc,0.511000022,Strain 289
119,18,2,DM29 + Sialic Acid,0.453299977,Strain 289
120,18,3,DM29,0.1866,Strain 289
121,18,3,DM29 + Glucose,0.552300006,Strain 289
122,18,3,DM29 + Galactose,0.231299996,Strain 289
123,18,3,DM29 + Mucin Type II,0.201800019,Strain 289
124,18,3,DM29 + GlcNAc,0.510299966,Strain 289
125,18,3,DM29 + Sialic Acid,0.450000025,Strain 289
126,21,1,DM29,0.105499998,Strain 289
127,21,1,DM29 + Glucose,0.511800021,Strain 289
128,21,1,DM29 + Galactose,0.221399993,Strain 289
129,21,1,DM29 + Mucin Type II,0.269199997,Strain 289
130,21,1,DM29 + GlcNAc,0.417799994,Strain 289
131,21,1,DM29 + Sialic Acid,0.439600028,Strain 289
132,21,2,DM29,0.121800005,Strain 289
133,21,2,DM29 + Glucose,0.54370001,Strain 289
134,21,2,DM29 + Galactose,0.252900004,Strain 289
135,21,2,DM29 + Mucin Type II,0.290300041,Strain 289
136,21,2,DM29 + GlcNAc,0.436299965,Strain 289
137,21,2,DM29 + Sialic Acid,0.441099979,Strain 289
138,21,3,DM29,0.138999999,Strain 289
139,21,3,DM29 + Glucose,0.536999971,Strain 289
140,21,3,DM29 + Galactose,0.226300001,Strain 289
141,21,3,DM29 + Mucin Type II,0.276600033,Strain 289
142,21,3,DM29 + GlcNAc,0.454299971,Strain 289
143,21,3,DM29 + Sialic Acid,0.438800015,Strain 289
144,24,1,DM29,0.132100016,Strain 289
145,24,1,DM29 + Glucose,0.5009,Strain 289
146,24,1,DM29 + Galactose,0.217299998,Strain 289
