,Time,Replicate,media,OD,Strain
96,15,2,DM29 + GalNAc,0.149000004,Strain 289
97,15,2,DM29 + Fucose,0.251299992,Strain 289
98,15,2,DM29 + Succinate,0.290700003,Strain 289
99,15,2,DM29 + Sorbitol,0.367100008,Strain 289
100,15,2,DM29 + Mannitol,0.599100016,Strain 289
101,15,2,DM29 + Trehalose,0.275800005,Strain 289
102,15,3,DM29 + GalNAc,0.150600001,Strain 289
103,15,3,DM29 + Fucose,0.223099992,Strain 289
104,15,3,DM29 + Succinate,0.297399983,Strain 289
105,15,3,DM29 + Sorbitol,0.403499998,Strain 289
106,15,3,DM29 + Mannitol,0.632999979,Strain 289
107,15,3,DM29 + Trehalose,0.277099982,Strain 289
108,18,1,DM29 + GalNAc,0.139200017,Strain 289
109,18,1,DM29 + Fucose,0.202900007,Strain 289
110,18,1,DM29 + Succinate,0.246399984,Strain 289
111,18,1,DM29 + Sorbitol,0.342300005,Strain 289
112,18,1,DM29 + Mannitol,0.547499977,Strain 289
113,18,1,DM29 + Trehalose,0.249999985,Strain 289
114,18,2,DM29 + GalNAc,0.140300021,Strain 289
115,18,2,DM29 + Fucose,0.265099987,Strain 289
116,18,2,DM29 + Succinate,0.292199984,Strain 289
117,18,2,DM29 + Sorbitol,0.359600015,Strain 289
118,18,2,DM29 + Mannitol,0.55649998,Strain 289
119,18,2,DM29 + Trehalose,0.274900004,Strain 289
120,18,3,DM29 + GalNAc,0.140100017,Strain 289
121,18,3,DM29 + Fucose,0.223600015,Strain 289
122,18,3,DM29 + Succinate,0.291299984,Strain 289
123,18,3,DM29 + Sorbitol,0.387500025,Strain 289
124,18,3,DM29 + Mannitol,0.58169999,Strain 289
125,18,3,DM29 + Trehalose,0.263400003,Strain 289
126,21,1,DM29 + GalNAc,0.135400012,Strain 289
127,21,1,DM29 + Fucose,0.194300011,Strain 289
128,21,1,DM29 + Succinate,0.242799982,Strain 289
129,21,1,DM29 + Sorbitol,0.295499988,Strain 289
