,Time,Replicate,media,OD
122,18,3,DM29 + Succinate,0.50319998
123,18,3,DM29 + Sorbitol,0.413499996
124,18,3,DM29 + Mannitol,0.569100007
125,18,3,DM29 + Trehalose,0.572000019
126,21,1,DM29 + GalNAc,0.347199991
127,21,1,DM29 + Fucose,0.397699967
128,21,1,DM29 + Succinate,0.480999991
129,21,1,DM29 + Sorbitol,0.408200011
130,21,1,DM29 + Mannitol,0.444900021
131,21,1,DM29 + Trehalose,0.497099988
132,21,2,DM29 + GalNAc,0.329399988
133,21,2,DM29 + Fucose,0.392499998
134,21,2,DM29 + Succinate,0.496900007
135,21,2,DM29 + Sorbitol,0.424999997
136,21,2,DM29 + Mannitol,0.428099975
137,21,2,DM29 + Trehalose,0.533200018
138,21,3,DM29 + GalNAc,0.323800012
139,21,3,DM29 + Fucose,0.377999976
140,21,3,DM29 + Succinate,0.473799989
141,21,3,DM29 + Sorbitol,0.414700016
142,21,3,DM29 + Mannitol,0.431399986
143,21,3,DM29 + Trehalose,0.568300001
144,24,1,DM29 + GalNAc,0.308900014
145,24,1,DM29 + Fucose,0.357700005
146,24,1,DM29 + Succinate,0.475999996
147,24,1,DM29 + Sorbitol,0.410800025
148,24,1,DM29 + Mannitol,0.427300021
149,24,1,DM29 + Trehalose,0.511099987
150,24,2,DM29 + GalNAc,0.291499987
151,24,2,DM29 + Fucose,0.357299998
152,24,2,DM29 + Succinate,0.468500003
153,24,2,DM29 + Sorbitol,0.425699994
154,24,2,DM29 + Mannitol,0.401700005
155,24,2,DM29 + Trehalose,0.540599994
156,24,3,DM29 + GalNAc,0.286499992
157,24,3,DM29 + Fucose,0.349999979
158,24,3,DM29 + Succinate,0.450499997
159,24,3,DM29 + Sorbitol,0.42309998
160,24,3,DM29 + Mannitol,0.400799975
161,24,3,DM29 + Trehalose,0.579999976
162,27,1,DM29 + GalNAc,0.282500014
163,27,1,DM29 + Fucose,0.337499991
164,27,1,DM29 + Succinate,0.464099988
165,27,1,DM29 + Sorbitol,0.40790002
166,27,1,DM29 + Mannitol,0.431500003
167,27,1,DM29 + Trehalose,0.506499998
168,27,2,DM29 + GalNAc,0.277800009
169,27,2,DM29 + Fucose,0.337899998
170,27,2,DM29 + Succinate,0.461199984
171,27,2,DM29 + Sorbitol,0.424800023
172,27,2,DM29 + Mannitol,0.400799975
173,27,2,DM29 + Trehalose,0.542299978
174,27,3,DM29 + GalNAc,0.269799992
175,27,3,DM29 + Fucose,0.33389999
176,27,3,DM29 + Succinate,0.444399998
177,27,3,DM29 + Sorbitol,0.415599987
178,27,3,DM29 + Mannitol,0.390399978
179,27,3,DM29 + Trehalose,0.579399996
180,30,1,DM29 + GalNAc,0.264599994
181,30,1,DM29 + Fucose,0.313700005
182,30,1,DM29 + Succinate,0.19949998
183,30,1,DM29 + Sorbitol,0.409000024
184,30,1,DM29 + Mannitol,0.449500009
185,30,1,DM29 + Trehalose,0.491900019
186,30,2,DM29 + GalNAc,0.265799984
187,30,2,DM29 + Fucose,0.322300002
188,30,2,DM29 + Succinate,0.216000006
189,30,2,DM29 + Sorbitol,0.4322
190,30,2,DM29 + Mannitol,0.416900024
191,30,2,DM29 + Trehalose,0.527000003
192,30,3,DM29 + GalNAc,0.248900011
193,30,3,DM29 + Fucose,0.3178
194,30,3,DM29 + Succinate,0.334299996
195,30,3,DM29 + Sorbitol,0.414700016
196,30,3,DM29 + Mannitol,0.39670001
197,30,3,DM29 + Trehalose,0.564500026
198,33,1,DM29 + GalNAc,0.245199993
199,33,1,DM29 + Fucose,0.290299997
200,33,1,DM29 + Succinate,0.12029998
201,33,1,DM29 + Sorbitol,0.413600013
202,33,1,DM29 + Mannitol,0.421800002
203,33,1,DM29 + Trehalose,0.48430001
204,33,2,DM29 + GalNAc,0.255999997
205,33,2,DM29 + Fucose,0.309099987
206,33,2,DM29 + Succinate,0.117899999
207,33,2,DM29 + Sorbitol,0.425100014
208,33,2,DM29 + Mannitol,0.426200017
209,33,2,DM29 + Trehalose,0.516000025
210,33,3,DM29 + GalNAc,0.241199985
211,33,3,DM29 + Fucose,0.304299995
212,33,3,DM29 + Succinate,0.142499998
213,33,3,DM29 + Sorbitol,0.423499987
214,33,3,DM29 + Mannitol,0.394900009
215,33,3,DM29 + Trehalose,0.550299995
216,36,1,DM29 + GalNAc,0.232099995
217,36,1,DM29 + Fucose,0.283000007
218,36,1,DM29 + Succinate,0.100299999
219,36,1,DM29 + Sorbitol,0.405400023
220,36,1,DM29 + Mannitol,0.207999989
221,36,1,DM29 + Trehalose,0.480899982
222,36,2,DM29 + GalNAc,0.248099998
223,36,2,DM29 + Fucose,0.284699991
224,36,2,DM29 + Succinate,0.095599994
225,36,2,DM29 + Sorbitol,0.410599992
226,36,2,DM29 + Mannitol,0.240100011
227,36,2,DM29 + Trehalose,0.509400003
228,36,3,DM29 + GalNAc,0.233499989
229,36,3,DM29 + Fucose,0.295599982
230,36,3,DM29 + Succinate,0.098699987
231,36,3,DM29 + Sorbitol,0.427399978
232,36,3,DM29 + Mannitol,0.266500011
233,36,3,DM29 + Trehalose,0.549099974
234,39,1,DM29 + GalNAc,0.223900005
235,39,1,DM29 + Fucose,0.266899988
236,39,1,DM29 + Succinate,0.096599996
237,39,1,DM29 + Sorbitol,0.385300025
238,39,1,DM29 + Mannitol,0.121999994
239,39,1,DM29 + Trehalose,0.484799974
240,39,2,DM29 + GalNAc,0.238300011
241,39,2,DM29 + Fucose,0.261299983
242,39,2,DM29 + Succinate,0.097299993
243,39,2,DM29 + Sorbitol,0.393800005
244,39,2,DM29 + Mannitol,0.115799993
245,39,2,DM29 + Trehalose,0.512899987
246,39,3,DM29 + GalNAc,0.227599993
247,39,3,DM29 + Fucose,0.268699989
248,39,3,DM29 + Succinate,0.104099989
249,39,3,DM29 + Sorbitol,0.417900011
250,39,3,DM29 + Mannitol,0.14760001
251,39,3,DM29 + Trehalose,0.550000004
252,42,1,DM29 + GalNAc,0.206199989
253,42,1,DM29 + Fucose,0.245800003
254,42,1,DM29 + Succinate,0.166899994
255,42,1,DM29 + Sorbitol,0.3873
256,42,1,DM29 + Mannitol,0.094099998
257,42,1,DM29 + Trehalose,0.477800004
258,42,2,DM29 + GalNAc,0.248599991
259,42,2,DM29 + Fucose,0.268299982
260,42,2,DM29 + Succinate,0.105499998
261,42,2,DM29 + Sorbitol,0.398800001
262,42,2,DM29 + Mannitol,0.161999986
