,Time,Replicate,media,OD,Strain
146,15,3,CM,0.480466643,MS006
147,15,1,CM,0.432966689,MS008
148,15,2,CM,0.458566645,MS008
149,15,3,CM,0.43686668,MS008
150,15,1,CM,0.484566668,MS010
151,15,2,CM,0.474866668,MS010
152,15,3,CM,0.483766655,MS010
153,15,1,CM,0.507066647,MS011
154,15,2,CM,0.517866651,MS011
155,15,3,CM,0.509666661,MS011
156,15,1,CM,0.491966644,MS013
157,15,2,CM,0.484766642,MS013
158,15,3,CM,0.501666645,MS013
159,15,1,CM,0.622066656,MS014
160,15,2,CM,0.613866666,MS014
161,15,3,CM,0.618966678,MS014
162,18,1,CM,0.488966683,MS001
163,18,2,CM,0.508966664,MS001
164,18,3,CM,0.501766661,MS001
165,18,1,CM,0.545166651,MS002
166,18,2,CM,0.545766691,MS002
167,18,3,CM,0.546266655,MS002
168,18,1,CM,0.522266665,MS004
169,18,2,CM,0.537266651,MS004
170,18,3,CM,0.538766662,MS004
171,18,1,CM,0.500866691,MS006
172,18,2,CM,0.617466668,MS006
173,18,3,CM,0.475366691,MS006
174,18,1,CM,0.438966671,MS008
175,18,2,CM,0.46296666,MS008
176,18,3,CM,0.439666668,MS008
177,18,1,CM,0.474166671,MS010
178,18,2,CM,0.465466658,MS010
179,18,3,CM,0.475066641,MS010
180,18,1,CM,0.485766688,MS011
181,18,2,CM,0.493066648,MS011
182,18,3,CM,0.495066682,MS011
183,18,1,CM,0.485966662,MS013
184,18,2,CM,0.474766651,MS013
185,18,3,CM,0.492566684,MS013
186,18,1,CM,0.585966686,MS014
187,18,2,CM,0.568766693,MS014
188,18,3,CM,0.572066644,MS014
189,21,1,CM,0.475466648,MS001
190,21,2,CM,0.488366643,MS001
191,21,3,CM,0.485966662,MS001
192,21,1,CM,0.523766676,MS002
193,21,2,CM,0.525266686,MS002
194,21,3,CM,0.521466652,MS002
195,21,1,CM,0.505166689,MS004
196,21,2,CM,0.526266674,MS004
197,21,3,CM,0.521666685,MS004
198,21,1,CM,0.530766645,MS006
199,21,2,CM,0.62196664,MS006
200,21,3,CM,0.497466663,MS006
201,21,1,CM,0.430966655,MS008
202,21,2,CM,0.452566663,MS008
203,21,3,CM,0.428566674,MS008
204,21,1,CM,0.469066659,MS010
205,21,2,CM,0.459666649,MS010
206,21,3,CM,0.468966642,MS010
207,21,1,CM,0.475866655,MS011
208,21,2,CM,0.485866645,MS011
209,21,3,CM,0.483666638,MS011
210,21,1,CM,0.476966659,MS013
211,21,2,CM,0.469666639,MS013
212,21,3,CM,0.485766688,MS013
213,21,1,CM,0.558666686,MS014
214,21,2,CM,0.518166641,MS014
215,21,3,CM,0.52516667,MS014
216,24,1,CM,0.463466683,MS001
217,24,2,CM,0.476166645,MS001
218,24,3,CM,0.475866655,MS001
219,24,1,CM,0.502266685,MS002
220,24,2,CM,0.510066668,MS002
221,24,3,CM,0.504366675,MS002
222,24,1,CM,0.494066695,MS004
223,24,2,CM,0.513866642,MS004
224,24,3,CM,0.50666664,MS004
225,24,1,CM,0.53606669,MS006
226,24,2,CM,0.613066653,MS006
227,24,3,CM,0.503766695,MS006
228,24,1,CM,0.423266688,MS008
229,24,2,CM,0.44446669,MS008
230,24,3,CM,0.420066694,MS008
231,24,1,CM,0.472766677,MS010
232,24,2,CM,0.460366646,MS010
233,24,3,CM,0.469666639,MS010
234,24,1,CM,0.473766664,MS011
235,24,2,CM,0.483966688,MS011
236,24,3,CM,0.480366686,MS011
237,24,1,CM,0.464866677,MS013
238,24,2,CM,0.460466662,MS013
239,24,3,CM,0.476366678,MS013
240,24,1,CM,0.536766687,MS014
241,24,2,CM,0.505866686,MS014
242,24,3,CM,0.509966651,MS014
243,27,1,CM,0.453166643,MS001
244,27,2,CM,0.462566653,MS001
245,27,3,CM,0.469566682,MS001
246,27,1,CM,0.499566654,MS002
247,27,2,CM,0.505866686,MS002
248,27,3,CM,0.500766674,MS002
249,27,1,CM,0.492166677,MS004
250,27,2,CM,0.511366645,MS004
251,27,3,CM,0.503166655,MS004
252,27,1,CM,0.531466642,MS006
253,27,2,CM,0.613366643,MS006
254,27,3,CM,0.504666666,MS006
255,27,1,CM,0.420966664,MS008
256,27,2,CM,0.444566647,MS008
257,27,3,CM,0.420266667,MS008
258,27,1,CM,0.476266662,MS010
259,27,2,CM,0.460966686,MS010
260,27,3,CM,0.469566682,MS010
261,27,1,CM,0.477466682,MS011
262,27,2,CM,0.486866692,MS011
263,27,3,CM,0.484666685,MS011
264,27,1,CM,0.448966661,MS013
265,27,2,CM,0.44446669,MS013
266,27,3,CM,0.463666657,MS013
267,27,1,CM,0.546366671,MS014
268,27,2,CM,0.513666669,MS014
269,27,3,CM,0.519866684,MS014
270,30,1,CM,0.432266692,MS001
271,30,2,CM,0.438866654,MS001
272,30,3,CM,0.454066673,MS001
273,30,1,CM,0.494966665,MS002
274,30,2,CM,0.49786667,MS002
275,30,3,CM,0.493866662,MS002
276,30,1,CM,0.477366665,MS004
277,30,2,CM,0.495666662,MS004
278,30,3,CM,0.491966644,MS004
279,30,1,CM,0.515366653,MS006
280,30,2,CM,0.598366657,MS006
281,30,3,CM,0.485466639,MS006
282,30,1,CM,0.412666658,MS008
283,30,2,CM,0.433466652,MS008
284,30,3,CM,0.409166673,MS008
285,30,1,CM,0.493066648,MS010
286,30,2,CM,0.47206668,MS010
287,30,3,CM,0.473366657,MS010
288,30,1,CM,0.46386669,MS011
289,30,2,CM,0.476566652,MS011
290,30,3,CM,0.473266641,MS011
291,30,1,CM,0.425466636,MS013
292,30,2,CM,0.422766665,MS013
293,30,3,CM,0.441766659,MS013
294,30,1,CM,0.53456668,MS014
295,30,2,CM,0.496866683,MS014
296,30,3,CM,0.500466684,MS014
297,33,1,CM,0.407566646,MS001
298,33,2,CM,0.40986667,MS001
