,Time,Replicate,media,OD,Strain
103,15,3,DM29 + Fucose,0.308899999,MS001
104,15,3,DM29 + Succinate,0.312399991,MS001
105,15,3,DM29 + Sorbitol,0.272900008,MS001
106,15,3,DM29 + Mannitol,0.462500028,MS001
107,15,3,DM29 + Trehalose,0.283799991,MS001
108,18,1,DM29 + GalNAc,0.20790001,MS001
109,18,1,DM29 + Fucose,0.244399995,MS001
110,18,1,DM29 + Succinate,0.289799996,MS001
111,18,1,DM29 + Sorbitol,0.244599991,MS001
112,18,1,DM29 + Mannitol,0.508999996,MS001
113,18,1,DM29 + Trehalose,0.311900005,MS001
114,18,2,DM29 + GalNAc,0.229400001,MS001
115,18,2,DM29 + Fucose,0.283399999,MS001
116,18,2,DM29 + Succinate,0.316300012,MS001
117,18,2,DM29 + Sorbitol,0.268099986,MS001
118,18,2,DM29 + Mannitol,0.504199974,MS001
119,18,2,DM29 + Trehalose,0.260299996,MS001
120,18,3,DM29 + GalNAc,0.21760001,MS001
121,18,3,DM29 + Fucose,0.282400012,MS001
122,18,3,DM29 + Succinate,0.307599999,MS001
123,18,3,DM29 + Sorbitol,0.264600001,MS001
124,18,3,DM29 + Mannitol,0.460600011,MS001
125,18,3,DM29 + Trehalose,0.291300014,MS001
126,21,1,DM29 + GalNAc,0.207200013,MS001
127,21,1,DM29 + Fucose,0.238400012,MS001
128,21,1,DM29 + Succinate,0.276000001,MS001
129,21,1,DM29 + Sorbitol,0.243299984,MS001
130,21,1,DM29 + Mannitol,0.517400019,MS001
131,21,1,DM29 + Trehalose,0.315099999,MS001
132,21,2,DM29 + GalNAc,0.218199991,MS001
133,21,2,DM29 + Fucose,0.272799998,MS001
134,21,2,DM29 + Succinate,0.308399983,MS001
135,21,2,DM29 + Sorbitol,0.262300007,MS001
136,21,2,DM29 + Mannitol,0.509400003,MS001
137,21,2,DM29 + Trehalose,0.261499986,MS001
138,21,3,DM29 + GalNAc,0.209799997,MS001
139,21,3,DM29 + Fucose,0.271299988,MS001
140,21,3,DM29 + Succinate,0.304200001,MS001
141,21,3,DM29 + Sorbitol,0.261799984,MS001
142,21,3,DM29 + Mannitol,0.468800001,MS001
143,21,3,DM29 + Trehalose,0.297999993,MS001
144,24,1,DM29 + GalNAc,0.222499989,MS001
