Comms,Richness,CD OD
CD+,1,0.58756465
CD+DP,2,0.5299759
CD+CA,2,0.5649341
CD+CA-DP,3,0.5304466
CD+CS,2,0.5666315
CD+CS-DP,3,0.5260196
CD+CS-CA,3,0.5448121
CD+CS-CA-DP,4,0.52591664
CD+BU,2,0.5902297
CD+BU-DP,3,0.536592
CD+BU-CA,3,0.581331
CD+BU-CA-DP,4,0.5372763
CD+BU-CS,3,0.5758461
CD+BU-CS-DP,4,0.5336373
CD+BU-CS-CA,4,0.56642026
CD+BU-CS-CA-DP,5,0.5339369
CD+CH,2,0.12383195
CD+CH-DP,3,0.1415161
CD+CH-CA,3,0.107879214
CD+CH-CA-DP,4,0.13835394
CD+CH-CS,3,0.112866074
CD+CH-CS-DP,4,0.13635828
CD+CH-CS-CA,4,0.09869776
CD+CH-CS-CA-DP,5,0.13342363
CD+CH-BU,3,0.22107098
CD+CH-BU-DP,4,0.21578331
CD+CH-BU-CA,4,0.21054006
CD+CH-BU-CA-DP,5,0.21249807
CD+CH-BU-CS,4,0.19651724
CD+CH-BU-CS-DP,5,0.20594922
CD+CH-BU-CS-CA,5,0.18708377
CD+CH-BU-CS-CA-DP,6,0.20287946
CD+BV,2,0.59188294
CD+BV-DP,3,0.54975206
CD+BV-CA,3,0.5328807
CD+BV-CA-DP,4,0.5382097
CD+BV-CS,3,0.5790874
CD+BV-CS-DP,4,0.5460541
CD+BV-CS-CA,4,0.5219526
CD+BV-CS-CA-DP,5,0.5330766
CD+BV-BU,3,0.591485
CD+BV-BU-DP,4,0.5462354
CD+BV-BU-CA,4,0.56636906
CD+BV-BU-CA-DP,5,0.5459168
CD+BV-BU-CS,4,0.5810789
CD+BV-BU-CS-DP,5,0.5439214
CD+BV-BU-CS-CA,5,0.55486685
CD+BV-BU-CS-CA-DP,6,0.5425207
CD+BV-CH,3,0.09630474
CD+BV-CH-DP,4,0.111422025
CD+BV-CH-CA,4,0.062221453
CD+BV-CH-CA-DP,5,0.10105175
CD+BV-CH-CS,4,0.09243986
CD+BV-CH-CS-DP,5,0.108931094
CD+BV-CH-CS-CA,5,0.061975203
CD+BV-CH-CS-CA-DP,6,0.099050276
CD+BV-CH-BU,4,0.20222124
CD+BV-CH-BU-DP,5,0.1978828
CD+BV-CH-BU-CA,5,0.18061227
CD+BV-CH-BU-CA-DP,6,0.19207656
CD+BV-CH-BU-CS,5,0.18278518
CD+BV-CH-BU-CS-DP,6,0.18886067
CD+BV-CH-BU-CS-CA,6,0.16276942
CD+BV-CH-BU-CS-CA-DP,7,0.18319485
CD+BT,2,0.4961567
CD+BT-DP,3,0.48657176
CD+BT-CA,3,0.4865217
CD+BT-CA-DP,4,0.48385632
CD+BT-CS,3,0.49098864
CD+BT-CS-DP,4,0.48388076
CD+BT-CS-CA,4,0.4822545
CD+BT-CS-CA-DP,5,0.4809013
CD+BT-BU,3,0.5218476
CD+BT-BU-DP,4,0.5034436
CD+BT-BU-CA,4,0.51376814
CD+BT-BU-CA-DP,5,0.5022242
CD+BT-BU-CS,4,0.5119077
CD+BT-BU-CS-DP,5,0.49888867
CD+BT-BU-CS-CA,5,0.5045225
CD+BT-BU-CS-CA-DP,6,0.4971591
CD+BT-CH,3,0.2814998
CD+BT-CH-DP,4,0.2804249
CD+BT-CH-CA,4,0.26776376
CD+BT-CH-CA-DP,5,0.27354804
CD+BT-CH-CS,4,0.2729739
CD+BT-CH-CS-DP,5,0.27418423
CD+BT-CH-CS-CA,5,0.26093256
CD+BT-CH-CS-CA-DP,6,0.26779172
CD+BT-CH-BU,4,0.28755412
CD+BT-CH-BU-DP,5,0.28339776
CD+BT-CH-BU-CA,5,0.27858058
CD+BT-CH-BU-CA-DP,6,0.27947313
CD+BT-CH-BU-CS,5,0.2770508
CD+BT-CH-BU-CS-DP,6,0.2770758
CD+BT-CH-BU-CS-CA,6,0.26880085
CD+BT-CH-BU-CS-CA-DP,7,0.27314246
CD+BT-BV,3,0.49678653
CD+BT-BV-DP,4,0.48952353
CD+BT-BV-CA,4,0.48243907
CD+BT-BV-CA-DP,5,0.48271787
CD+BT-BV-CS,4,0.49247158
CD+BT-BV-CS-DP,5,0.48690134
CD+BT-BV-CS-CA,5,0.4790685
CD+BT-BV-CS-CA-DP,6,0.48006773
CD+BT-BV-BU,4,0.5213047
CD+BT-BV-BU-DP,5,0.50711066
CD+BT-BV-BU-CA,5,0.50837976
CD+BT-BV-BU-CA-DP,6,0.5026404
CD+BT-BV-BU-CS,5,0.513012
CD+BT-BV-BU-CS-DP,6,0.50260264
CD+BT-BV-BU-CS-CA,6,0.5009285
CD+BT-BV-BU-CS-CA-DP,7,0.497716
CD+BT-BV-CH,4,0.2703107
CD+BT-BV-CH-DP,5,0.26953924
CD+BT-BV-CH-CA,5,0.2518203
CD+BT-BV-CH-CA-DP,6,0.25902125
CD+BT-BV-CH-CS,5,0.2632077
CD+BT-BV-CH-CS-DP,6,0.26407665
CD+BT-BV-CH-CS-CA,6,0.24655789
CD+BT-BV-CH-CS-CA-DP,7,0.25420296
CD+BT-BV-CH-BU,5,0.2782519
CD+BT-BV-CH-BU-DP,6,0.27452102
CD+BT-BV-CH-BU-CA,6,0.26547614
CD+BT-BV-CH-BU-CA-DP,7,0.2684011
CD+BT-BV-CH-BU-CS,6,0.26910067
CD+BT-BV-CH-BU-CS-DP,7,0.268649
CD+BT-BV-CH-BU-CS-CA,7,0.2571934
CD+BT-BV-CH-BU-CS-CA-DP,8,0.26251033
