Comms,Richness,CD OD
CD+,1,0.53404117
CD+DP,2,0.51689667
CD+CA,2,0.5233513
CD+CA-DP,3,0.51452917
CD+CS,2,0.58432335
CD+CS-DP,3,0.55621725
CD+CS-CA,3,0.576988
CD+CS-CA-DP,4,0.55505604
CD+BU,2,0.61637944
CD+BU-DP,3,0.5757414
CD+BU-CA,3,0.616373
CD+BU-CA-DP,4,0.5775824
CD+BU-CS,3,0.6375628
CD+BU-CS-DP,4,0.59284234
CD+BU-CS-CA,4,0.6373833
CD+BU-CS-CA-DP,5,0.59485686
CD+CH,2,0.38297424
CD+CH-DP,3,0.35093093
CD+CH-CA,3,0.36982223
CD+CH-CA-DP,4,0.34840363
CD+CH-CS,3,0.42736045
CD+CH-CS-DP,4,0.3767503
CD+CH-CS-CA,4,0.41555056
CD+CH-CS-CA-DP,5,0.37505022
CD+CH-BU,3,0.54412925
CD+CH-BU-DP,4,0.47748807
CD+CH-BU-CA,4,0.54352915
CD+CH-BU-CA-DP,5,0.4779919
CD+CH-BU-CS,4,0.55159956
CD+CH-BU-CS-DP,5,0.48045108
CD+CH-BU-CS-CA,5,0.5512775
CD+CH-BU-CS-CA-DP,6,0.48117045
CD+BV,2,0.67097217
CD+BV-DP,3,0.66343075
CD+BV-CA,3,0.6409665
CD+BV-CA-DP,4,0.6401562
CD+BV-CS,3,0.6756104
CD+BV-CS-DP,4,0.66776603
CD+BV-CS-CA,4,0.65089667
CD+BV-CS-CA-DP,5,0.6478414
CD+BV-BU,3,0.6509951
CD+BV-BU-DP,4,0.6283506
CD+BV-BU-CA,4,0.65235937
CD+BV-BU-CA-DP,5,0.6320985
CD+BV-BU-CS,4,0.66226876
CD+BV-BU-CS-DP,5,0.6405814
CD+BV-BU-CS-CA,5,0.663111
CD+BV-BU-CS-CA-DP,6,0.64351046
CD+BV-CH,3,0.5243908
CD+BV-CH-DP,4,0.49622074
CD+BV-CH-CA,4,0.48902884
CD+BV-CH-CA-DP,5,0.47869068
CD+BV-CH-CS,4,0.5246716
CD+BV-CH-CS-DP,5,0.49586576
CD+BV-CH-CS-CA,5,0.4938832
CD+BV-CH-CS-CA-DP,6,0.48009777
CD+BV-CH-BU,4,0.5613306
CD+BV-CH-BU-DP,5,0.50246614
CD+BV-CH-BU-CA,5,0.5615326
CD+BV-CH-BU-CA-DP,6,0.50466156
CD+BV-CH-BU-CS,5,0.5656008
CD+BV-CH-BU-CS-DP,6,0.5059536
CD+BV-CH-BU-CS-CA,6,0.56576836
CD+BV-CH-BU-CS-CA-DP,7,0.5080538
CD+BT,2,0.6306627
CD+BT-DP,3,0.62961155
CD+BT-CA,3,0.6282079
CD+BT-CA-DP,4,0.62807995
CD+BT-CS,3,0.637819
CD+BT-CS-DP,4,0.63590306
CD+BT-CS-CA,4,0.635697
CD+BT-CS-CA-DP,5,0.63454586
CD+BT-BU,3,0.644776
CD+BT-BU-DP,4,0.6407173
CD+BT-BU-CA,4,0.64463675
CD+BT-BU-CA-DP,5,0.6410272
CD+BT-BU-CS,4,0.65071684
CD+BT-BU-CS-DP,5,0.64637774
CD+BT-BU-CS-CA,5,0.6504293
CD+BT-BU-CS-CA-DP,6,0.64652014
CD+BT-CH,3,0.57234526
CD+BT-CH-DP,4,0.5697714
CD+BT-CH-CA,4,0.5693669
CD+BT-CH-CA-DP,5,0.56790113
CD+BT-CH-CS,4,0.57635736
CD+BT-CH-CS-DP,5,0.57316315
CD+BT-CH-CS-CA,5,0.57369924
CD+BT-CH-CS-CA-DP,6,0.5714678
CD+BT-CH-BU,4,0.5958887
CD+BT-CH-BU-DP,5,0.58593
CD+BT-CH-BU-CA,5,0.5954016
CD+BT-CH-BU-CA-DP,6,0.5861472
CD+BT-CH-BU-CS,5,0.59850353
CD+BT-CH-BU-CS-DP,6,0.58878773
CD+BT-CH-BU-CS-CA,6,0.59804094
CD+BT-CH-BU-CS-CA-DP,7,0.58894926
CD+BT-BV,3,0.6338052
CD+BT-BV-DP,4,0.63322836
CD+BT-BV-CA,4,0.63000345
CD+BT-BV-CA-DP,5,0.63041455
CD+BT-BV-CS,4,0.63852906
CD+BT-BV-CS-DP,5,0.6374721
CD+BT-BV-CS-CA,5,0.6352117
CD+BT-BV-CS-CA-DP,6,0.63495094
CD+BT-BV-BU,4,0.64651334
CD+BT-BV-BU-DP,5,0.644223
CD+BT-BV-BU-CA,5,0.646318
CD+BT-BV-BU-CA-DP,6,0.6443235
CD+BT-BV-BU-CS,5,0.6504575
CD+BT-BV-BU-CS-DP,6,0.6479839
CD+BT-BV-BU-CS-CA,6,0.65007704
CD+BT-BV-BU-CS-CA-DP,7,0.64790547
CD+BT-BV-CH,4,0.57367283
CD+BT-BV-CH-DP,5,0.5717365
CD+BT-BV-CH-CA,5,0.5700002
CD+BT-BV-CH-CA-DP,6,0.5691908
CD+BT-BV-CH-CS,5,0.57660955
CD+BT-BV-CH-CS-DP,6,0.57429916
CD+BT-BV-CH-CS-CA,6,0.57329863
CD+BT-BV-CH-CS-CA-DP,7,0.5719561
CD+BT-BV-CH-BU,5,0.5963159
CD+BT-BV-CH-BU-DP,6,0.5889761
CD+BT-BV-CH-BU-CA,6,0.59590036
CD+BT-BV-CH-BU-CA-DP,7,0.58913326
CD+BT-BV-CH-BU-CS,6,0.5982935
CD+BT-BV-CH-BU-CS-DP,7,0.59115595
CD+BT-BV-CH-BU-CS-CA,7,0.5978546
CD+BT-BV-CH-BU-CS-CA-DP,8,0.59123105
