Comms,Richness,Objective
CD+,1,0.0
CD+DP,2,0.7726508596417823
CD+CA,2,0.6310923028813313
CD+CA-DP,3,1.097947519272564
CD+CS,2,-0.1054302908632252
CD+CS-DP,3,0.5574695274842014
CD+CS-CA,3,0.3108252303636796
CD+CS-CA-DP,4,0.8100836487981127
CD+BU,2,-0.8727363988148937
CD+BU-DP,3,-0.0872049048086847
CD+BU-CA,3,-0.4261804121185335
CD+BU-CA-DP,4,0.18041778447068246
CD+BU-CS,3,-0.8051001132294857
CD+BU-CS-DP,4,-0.115342482316251
CD+BU-CS-CA,4,-0.46361955441534697
CD+BU-CS-CA-DP,5,0.10447711531756987
CD+CH,2,3.6560327073141003
CD+CH-DP,3,4.281038961164195
CD+CH-CA,3,4.0344916920424705
CD+CH-CA-DP,4,4.491712308507791
CD+CH-CS,3,3.548603516604217
CD+CH-CS-DP,4,4.1943827309474635
CD+CH-CS-CA,4,3.8509413666110843
CD+CH-CS-CA-DP,5,4.370228530268886
CD+CH-BU,3,1.6759404995459661
CD+CH-BU-DP,4,2.6215286927335697
CD+CH-BU-CA,4,2.016818325168318
CD+CH-BU-CA-DP,5,2.837615884650421
CD+CH-BU-CS,4,1.8410846735445805
CD+CH-BU-CS-DP,5,2.716515846588475
CD+CH-BU-CS-CA,5,2.1154693817833836
CD+CH-BU-CS-CA-DP,6,2.8983727498930314
CD+BV,2,-2.169369709735017
CD+BV-DP,3,-1.6583738512530637
CD+BV-CA,3,-1.5622565226287275
CD+BV-CA-DP,4,-1.2403677839177618
CD+BV-CS,3,-1.8899957908659566
CD+BV-CS-DP,4,-1.4905995795009108
CD+BV-CS-CA,4,-1.4333785628633855
CD+BV-CS-CA-DP,5,-1.1508100639496561
CD+BV-BU,3,-1.8117117779899647
CD+BV-BU-DP,4,-1.3270479612888746
CD+BV-BU-CA,4,-1.559935458916792
CD+BV-BU-CA-DP,5,-1.17473455754166
CD+BV-BU-CS,4,-1.6725508576753203
CD+BV-BU-CS-DP,5,-1.2592224480242162
CD+BV-BU-CS-CA,5,-1.4630401048201112
CD+BV-BU-CS-CA-DP,6,-1.1229874455198985
CD+BV-CH,3,1.5439721097295358
CD+BV-CH-DP,4,2.099951585716738
CD+BV-CH-CA,4,2.0361853981656672
CD+BV-CH-CA-DP,5,2.406380640608922
CD+BV-CH-CS,4,1.7965084782288372
CD+BV-CH-CS-DP,5,2.277345737062241
CD+BV-CH-CS-CA,5,2.1973649674304268
CD+BV-CH-CS-CA-DP,6,2.538198961401166
CD+BV-CH-BU,4,1.1205680424689621
CD+BV-CH-BU-DP,5,1.8614141797000636
CD+BV-CH-BU-CA,5,1.3517659535745548
CD+BV-CH-BU-CA-DP,6,1.9983460959427184
CD+BV-CH-BU-CS,5,1.3001745315838829
CD+BV-CH-BU-CS-DP,6,1.974460027617762
CD+BV-CH-BU-CS-CA,6,1.495013680955278
CD+BV-CH-BU-CS-CA-DP,7,2.0944863382954972
CD+BT,2,-1.0267341284423495
CD+BT-DP,3,-0.6121162910546598
CD+BT-CA,3,-0.6194674495835706
CD+BT-CA-DP,4,-0.3315777581717292
CD+BT-CS,3,-0.8744070861412574
CD+BT-CS-DP,4,-0.5402917062141483
CD+BT-CS-CA,4,-0.5685298519627189
CD+BT-CS-CA-DP,5,-0.31228419857061773
CD+BT-BU,3,-1.04284412695133
CD+BT-BU-DP,4,-0.6839871354477154
CD+BT-BU-CA,4,-0.7258997637854563
CD+BT-BU-CA-DP,5,-0.4526666812598723
CD+BT-BU-CS,4,-0.9351340539905504
