Param name,Param value,Param stdv,Param p-value,BT,BV,CD,CH,BU,CS,CA,DP,BT*BT,BT*BV,BT*CD,BT*CH,BT*BU,BT*CS,BT*CA,BT*DP,BV*BT,BV*BV,BV*CD,BV*CH,BV*BU,BV*CS,BV*CA,BV*DP,CD*BT,CD*BV,CD*CD,CD*CH,CD*BU,CD*CS,CD*CA,CD*DP,CH*BT,CH*BV,CH*CD,CH*CH,CH*BU,CH*CS,CH*CA,CH*DP,BU*BT,BU*BV,BU*CD,BU*CH,BU*BU,BU*CS,BU*CA,BU*DP,CS*BT,CS*BV,CS*CD,CS*CH,CS*BU,CS*CS,CS*CA,CS*DP,CA*BT,CA*BV,CA*CD,CA*CH,CA*BU,CA*CS,CA*CA,CA*DP,DP*BT,DP*BV,DP*CD,DP*CH,DP*BU,DP*CS,DP*CA,DP*DP
BT,0.7997154723782868,0.05826537,7.153374023134805e-43,0.003394853,7.542942e-05,0.00011091066,0.0005545089,0.00068063056,1.1424972e-06,1.7744533e-05,7.5491635e-06,-0.0024120228,-0.0034614704,-0.0022911679,-0.0015375941,-0.002271178,0.001010315,0.0026526025,0.0018998359,-6.850431e-05,-0.00011115808,0.0012270531,0.00033105645,0.0007114066,0.00017871353,6.11096e-05,0.0001672772,4.6938843e-05,0.0017583958,-0.00012074055,-7.7721e-05,-7.368902e-05,9.768448e-06,-0.00091837114,0.00011851728,-7.674298e-05,0.00074456143,-0.0004712614,-0.0025911625,-3.8114056e-05,-1.655879e-05,-0.00033095246,-0.002420855,-0.00031443653,0.0001614436,-0.0004636718,0.00083812274,-0.0007106645,-5.461292e-05,-0.00092322583,-3.8818955e-05,4.273442e-05,-6.982382e-06,0.00015586252,-2.6851063e-05,-8.657184e-05,6.8146505e-07,7.8230405e-05,0.0008170908,8.587283e-05,0.000107688065,1.966022e-05,0.00032873434,-6.2989784e-06,0.0001120259,-0.00055138546,-0.00023138907,0.0003387895,2.9524785e-05,0.00072175264,-0.0008751303,-0.0005082856,5.384644e-05,-0.0014424222,3.3057222e-06
BV,0.9383632511427469,0.049062584,1.5386692955291016e-81,7.542942e-05,0.002407137,2.3500065e-06,-2.4295505e-05,0.00017111581,4.579372e-05,-9.9713325e-05,-3.728636e-06,-6.36713e-05,-0.000101472964,-3.725258e-05,6.39249e-05,6.1623694e-05,9.380538e-05,9.5457144e-05,5.928761e-05,-0.0012751416,-0.002398243,-0.0026600948,-0.000726726,-0.00091070996,7.927143e-05,0.00017063468,0.0010120797,-5.470806e-05,-0.001483053,4.3261032e-05,-0.00033705388,-5.0160474e-05,-8.3678225e-07,0.00012407431,0.00018566732,-1.4374604e-05,-0.00024431662,-6.53387e-05,0.00017215694,-1.6453103e-05,-1.1437696e-05,-0.00036845333,-0.00012691367,-4.0081846e-05,0.00025880412,-1.0112094e-05,0.00083303335,-0.00022462572,-3.7404927e-06,-0.0001190292,1.829287e-05,1.0252374e-05,0.00011308601,8.3642815e-05,0.00010824222,4.458917e-05,-0.00014261692,0.00016783593,-3.9568808e-05,6.305885e-05,-0.0011828037,5.4247994e-05,-0.0014119617,-0.00021467637,-0.0010558125,0.004195096,0.0007801012,-0.00011833307,-3.3526754e-05,0.00014250724,0.00015151114,-0.0001277358,9.158136e-06,-0.00026690617,3.252035e-05
CD,0.6310371325015346,0.03306004,3.200866782679185e-81,0.00011091066,2.3500065e-06,0.0010929663,0.00023380716,-2.4731518e-05,2.974562e-05,1.9216506e-05,5.2693476e-06,-6.9752336e-05,3.433641e-05,0.0001542971,-7.13645e-05,-6.0315677e-05,-2.0495057e-05,-0.00025638516,0.00012452349,4.3015854e-05,-6.659394e-06,0.0006039753,5.612765e-05,4.9327995e-05,8.14181e-06,6.8108648e-06,-7.774889e-06,-0.0003102652,-0.0010171086,-0.0008936647,-0.004452228,-0.0004965832,-0.0006816023,0.0005922373,-0.00074597215,-6.087841e-05,0.00012305233,-0.00021875343,-0.000898544,-3.3450207e-05,-3.6216337e-05,-0.00042004584,-0.0006606179,3.3664444e-05,3.1141968e-05,0.00016738643,-0.00015414266,3.070297e-05,6.099943e-06,-7.565185e-05,-1.9080512e-06,-1.7830398e-05,-3.6546804e-05,0.0003114061,-0.00017815713,-8.871183e-05,-7.3688934e-06,-0.0002154205,-9.453866e-05,9.0649255e-06,6.083178e-06,4.463359e-05,-5.426233e-05,-1.0002778e-05,2.3183358e-05,-0.000120406665,-0.00038864015,2.5689846e-05,-4.6419973e-07,0.0005840706,-0.00093830546,1.0704144e-05,5.1046186e-08,-0.0007008979,-5.1228963e-06
CH,0.5326540084311672,0.04773097,6.434889502949199e-29,0.0005545089,-2.4295505e-05,0.00023380716,0.0022782458,1.152452e-05,-4.2455576e-06,-3.3832446e-05,5.727365e-06,-0.0004290786,0.00025270513,-0.00041272189,-6.0821458e-05,-0.00022521395,0.00013918674,-6.613379e-05,-0.00027484124,0.00016384985,2.3747845e-05,0.0011161658,0.00034432075,-2.0549045e-05,2.1800146e-05,-4.453272e-05,-3.9697872e-05,-6.0262115e-05,0.0032877347,-0.00034029633,0.000801672,3.467521e-05,2.2610511e-05,-0.0014717455,0.00028849242,-0.0005931132,0.0009159094,-0.0026928603,-0.0095338095,-0.00022283976,-0.00019804208,5.9236638e-05,-0.0058220443,2.1879132e-05,-0.0002123285,-4.3871554e-05,-0.0023680981,3.749281e-05,-7.0196397e-06,0.0001871263,-9.54427e-06,-4.7218373e-06,1.10451165e-05,0.00015371827,-0.00014937881,-2.6051286e-05,1.6758404e-05,5.38879e-06,0.000109951034,1.0400715e-05,-0.00010830512,3.0321862e-05,-0.0011210155,-4.391153e-05,-0.00021916676,0.00086396903,0.0003374734,0.00026405475,-3.172723e-05,0.0007288151,-0.0093595,-0.000103005674,-1.4451278e-05,0.00044424215,5.534761e-05
BU,0.7880105713221652,0.048105333,2.61667990539254e-60,0.00068063056,0.00017111581,-2.4731518e-05,1.152452e-05,0.002314123,-2.1818218e-05,8.683853e-06,-4.7716218e-05,-0.00051443966,0.00011907138,-0.0006719355,-0.00012632721,6.0526665e-05,3.779889e-05,-0.00051141734,-0.00030182244,5.814974e-05,-0.0001764416,0.0003239239,7.930649e-05,0.00016196494,3.4914687e-05,2.9041765e-05,2.8741275e-05,2.6357266e-05,-4.6894114e-05,6.1517116e-05,1.6030659e-05,-0.00033493215,-5.479881e-06,0.00025199755,-0.0010357983,5.883286e-05,7.9434605e-05,7.733717e-05,-5.4164884e-05,5.4751716e-05,2.1161088e-05,8.8099536e-05,0.00042493318,-0.0011085535,-0.0016957895,-0.001697518,-0.00075865304,-0.0023672222,-0.0001610315,-6.951778e-05,6.308506e-05,2.8260147e-06,8.055336e-06,7.645742e-05,-2.7895434e-05,-0.0003579698,7.041548e-05,-9.26026e-05,-0.00021541545,-3.4060558e-06,4.6949885e-05,-6.7213655e-06,0.00023441373,-7.119854e-05,9.7909004e-05,-0.00040006643,-0.0011565947,0.00032923528,-4.092142e-05,0.0006066124,-0.00045111767,-0.0020870115,2.549208e-05,0.0018888062,0.0003086737
CS,0.4705413758725161,0.022735065,3.707254093097902e-95,1.1424972e-06,4.579372e-05,2.974562e-05,-4.2455576e-06,-2.1818218e-05,0.0005168832,-2.5963664e-05,1.0138649e-05,8.631458e-06,-4.1490075e-05,-1.5764683e-06,-4.3350174e-05,-3.9589067e-05,2.7618195e-05,1.6334012e-05,3.4758563e-05,-9.045178e-06,-4.3592794e-05,-2.9102393e-05,-5.374913e-06,-9.727477e-07,2.9118958e-06,-1.1234615e-05,1.7704762e-05,-5.029387e-06,-9.910478e-06,-2.744127e-05,-9.284478e-05,-1.9289946e-05,2.238e-05,-6.4025546e-05,-2.0324953e-05,-3.1198224e-06,-4.260516e-07,2.0235231e-05,1.7476876e-05,-1.7653633e-06,1.06042e-05,-6.318132e-05,-5.5946777e-05,1.1653608e-05,3.5423418e-05,2.770835e-05,5.0870767e-05,2.2405771e-05,3.3823464e-05,-1.282597e-05,3.1937707e-06,-8.166616e-05,-0.00034986972,-0.0008435258,-0.00047116796,-6.163416e-05,-0.0011074248,0.0009982715,-0.0029519554,6.576817e-07,-3.111708e-05,-8.546859e-07,1.8617796e-07,3.7149027e-06,-6.688531e-05,0.000295997,-0.0002967903,4.680329e-05,-1.5815232e-06,-8.50791e-05,2.172111e-05,2.373922e-05,-7.656124e-05,-0.0002738009,-3.1091764e-05
CA,0.13387769208387948,0.023590785,1.3868900142110185e-08,1.7744533e-05,-9.9713325e-05,1.9216506e-05,-3.3832446e-05,8.683853e-06,-2.5963664e-05,0.00055652513,9.107991e-06,-6.810635e-06,2.631524e-06,2.179596e-05,-1.2174757e-05,-4.5121807e-05,-1.9125375e-05,1.696498e-05,1.7290062e-05,6.0990806e-05,9.68221e-05,0.00012950422,2.8642478e-05,5.912343e-05,1.968672e-06,0.00010476631,-2.2067246e-05,4.264405e-06,6.736374e-05,-3.0422373e-06,-0.00013187625,-3.971397e-05,-1.9620411e-05,9.294469e-05,6.666233e-05,4.9884056e-06,-1.1123306e-05,5.3076656e-05,0.00014460922,5.0213484e-06,-8.10723e-08,0.0003045389,2.6900585e-05,-6.600826e-06,3.9966167e-07,1.644421e-05,2.3152019e-05,-7.3880933e-06,-2.7041942e-06,-2.9398836e-05,-1.0977272e-06,1.9520794e-06,9.915025e-06,3.393416e-05,1.3240057e-05,-7.813361e-06,5.940855e-05,-1.8908944e-05,9.8544246e-05,-0.00017908195,-0.0005244257,-0.0001490327,-0.0024059725,-0.0006965202,-0.00062219717,-0.0008992637,0.001128696,-3.2715405e-05,-5.180363e-06,-8.668523e-05,8.197179e-05,-2.219492e-05,-2.4302533e-05,0.00016135209,-2.603022e-06
DP,0.24764887514171152,0.016124343,3.0974658286542735e-53,7.5491635e-06,-3.728636e-06,5.2693476e-06,5.727365e-06,-4.7716218e-05,1.0138649e-05,9.107991e-06,0.00025999444,-3.5482842e-06,-1.2865157e-05,9.078194e-06,-2.6471156e-05,-2.8570379e-05,-1.4608145e-05,-7.2191647e-06,-2.1415253e-05,7.247798e-06,1.2814417e-06,1.7123239e-06,7.972084e-06,8.342373e-06,2.2178665e-06,5.508781e-06,3.3955304e-05,-1.5407448e-06,2.719772e-05,-2.8235206e-06,-3.1441294e-05,-9.661763e-06,8.257538e-07,1.537188e-05,1.8911576e-06,1.082928e-05,2.7623479e-05,-6.9670514e-06,-3.6450172e-05,3.3728545e-06,8.530319e-06,6.1026054e-05,-8.206609e-05,2.4943432e-05,4.1203795e-05,3.4365505e-05,5.7908368e-05,4.2818203e-05,6.508592e-06,1.5121766e-05,0.000113804104,-9.322551e-06,-1.968915e-05,1.3897967e-05,-7.123061e-05,-2.6942427e-05,4.9647947e-06,-0.00010906735,0.002125403,6.7376885e-07,-5.309923e-06,1.9320696e-06,-4.2321743e-05,-6.73272e-06,2.612055e-06,-2.7451613e-05,0.00073021336,0.00022917977,-0.0001828251,0.000199081,-0.0020622027,-0.0002145205,-0.0003696614,-0.0018537793,-0.00036538122
BT*BT,-0.5646026529613647,0.049344875,2.5795615309845192e-30,-0.0024120228,-6.36713e-05,-6.9752336e-05,-0.0004290786,-0.00051443966,8.631458e-06,-6.810635e-06,-3.5482842e-06,0.0024349166,0.0019235864,0.0012395245,0.00028436256,0.0011683106,-0.0030268629,-0.0022643541,-0.00160233,0.00039142076,0.00010935307,-0.0010495799,-0.00034594932,-0.000706154,-0.00022469349,-7.771424e-05,-0.00027545483,1.3012282e-05,-0.001461664,8.980316e-05,-0.00010786322,-2.3382394e-05,-5.7852547e-05,0.00069344736,7.756205e-05,0.00010035289,-0.0006132667,0.00031420766,0.0020596678,2.685043e-05,5.78479e-07,0.00021424989,0.0018965774,0.00048950175,-0.00023134713,0.00013701899,-0.001088166,0.00057415786,2.7493403e-05,0.0006303796,2.168311e-05,-1.4471838e-05,2.0994469e-06,-0.0001437066,2.1936961e-05,5.8843296e-05,-1.776046e-05,-4.179098e-05,-0.00049553404,-4.6476183e-05,-0.00010111582,-2.3126513e-05,-0.00030980445,-2.0899719e-05,-0.00010915058,0.0004491379,0.00019952487,-0.00019772645,-2.5133899e-05,-0.00048200568,0.00057388004,0.00035062394,-3.1109448e-05,0.000995837,4.704443e-07
BT*BV,0.07586731585786399,0.14487107,0.6004952059085109,-0.0034614704,-0.000101472964,3.433641e-05,0.00025270513,0.00011907138,-4.1490075e-05,2.631524e-06,-1.2865157e-05,0.0019235864,0.020987628,0.0017760013,-0.003418356,0.000762365,0.000107142536,-0.0020949768,-0.0032822033,0.0030645195,0.00024888464,0.0006930454,-0.00043897657,3.2143114e-05,-0.0006227304,-0.0002447968,-0.0012649528,-0.00021977635,0.002889597,-0.00010612111,-0.0012000486,-0.00026809578,6.179467e-05,-7.975086e-05,-0.0005198784,-7.4278185e-05,0.00092143146,-0.0004452513,-0.00168684,-1.3571702e-05,0.00010579291,0.0010118877,0.00039263716,-9.260834e-05,0.0010405442,-0.00059784425,0.004391688,-0.00044856855,8.267183e-05,0.001329511,0.0002143503,-3.7026293e-05,6.427818e-05,0.00019629493,0.00017316495,4.450202e-05,4.740906e-05,0.00010092888,0.000143477,-0.00010600094,-9.656201e-06,3.3320255e-05,7.8146964e-05,3.2260477e-06,3.6270326e-06,-9.607496e-05,-0.0042792247,0.0015233242,2.9191659e-05,-0.00013970578,-0.00080445653,8.490458e-05,3.4268258e-05,0.0013619085,-6.1642695e-06
