Treatments,species,true,pred,stdv
BT-BU-BV-CA-CS-DP,CA,0.002909606,0.004623896442353725,0.04744750261306763
BT-BU-BV-CA-CS-DP,BT,1.116771316,1.168817400932312,0.212107852101326
BT-BU-BV-CA-CS-DP,BU,0.114888978,0.17235147953033447,0.15873083472251892
BT-BU-BV-CA-CS-DP,BV,0.190537847,0.3493829667568207,0.1492527723312378
BT-BU-BV-CA-CS-DP,CS,0.127688512,0.10934334248304367,0.12505458295345306
BT-BU-BV-CA-CS-DP,DP,0.021037117,0.024725671857595444,0.1367134153842926
BT-BU-BV-CA-CS-DP,CA,0.077204592,0.0033923762384802103,0.047556765377521515
BT-BU-BV-CA-CS-DP,BT,1.193564205,1.3829516172409058,0.20816390216350555
BT-BU-BV-CA-CS-DP,BU,0.097576323,0.06797489523887634,0.15935631096363068
BT-BU-BV-CA-CS-DP,BV,0.044795902,0.13300643861293793,0.15227380394935608
BT-BU-BV-CA-CS-DP,CS,0.2977281,0.21572351455688477,0.1322314739227295
BT-BU-BV-CA-CS-DP,DP,0.031380878,0.038313157856464386,0.13939157128334045
BT-BV-MS008-CH-BU-CA-DP_0,CA,0.013462371,0.0011023948900401592,0.04741078242659569
BT-BV-MS008-CH-BU-CA-DP_0,BT,0.593304849,0.8171150088310242,0.20708292722702026
BT-BV-MS008-CH-BU-CA-DP_0,BU,0.372760447,0.3374289870262146,0.1602116972208023
BT-BV-MS008-CH-BU-CA-DP_0,BV,0.076308162,0.0817730501294136,0.14223752915859222
BT-BV-MS008-CH-BU-CA-DP_0,CD,0.614228508,0.43122562766075134,0.10550586879253387
BT-BV-MS008-CH-BU-CA-DP_0,DP,0.029741717,0.02736498974263668,0.13673174381256104
BT-BV-MS008-CH-BU-CA-DP_0,CH,0.106027283,0.10552895069122314,0.10399417579174042
BT-BV-MS008-CH-BU-CA-DP_0,CA,0.018027764,1.0252431820845231e-05,0.04740530997514725
BT-BV-MS008-CH-BU-CA-DP_0,BT,0.675428481,0.7674829959869385,0.21036595106124878
BT-BV-MS008-CH-BU-CA-DP_0,BU,0.34982781,0.3049795925617218,0.16279615461826324
BT-BV-MS008-CH-BU-CA-DP_0,BV,0.023305986,0.003854211186990142,0.14119994640350342
BT-BV-MS008-CH-BU-CA-DP_0,CD,0.745282779,0.5486235022544861,0.1053660437464714
BT-BV-MS008-CH-BU-CA-DP_0,DP,0.032392272,0.03651990741491318,0.13864649832248688
BT-BV-MS008-CH-BU-CA-DP_0,CH,0.129234917,0.05466721951961517,0.10482664406299591
BU-BV-CA-MS008-CS,CA,0.005444428,0.0043723187409341335,0.047459982335567474
BU-BV-CA-MS008-CS,BU,0.53973646,0.2968352735042572,0.16293638944625854
BU-BV-CA-MS008-CS,BV,0.305210218,0.28240326046943665,0.15028880536556244
BU-BV-CA-MS008-CS,CS,0.042188757,0.06277439743280411,0.12465217709541321
BU-BV-CA-MS008-CS,CD,0.325920126,0.7394418716430664,0.10787329822778702
BU-BV-CA-MS008-CS,CA,0.027024444,0.00011269606329733506,0.04740599915385246
BU-BV-CA-MS008-CS,BU,0.318406234,0.4435449540615082,0.1680443435907364
BU-BV-CA-MS008-CS,BV,0.033404276,0.14081688225269318,0.15333673357963562
BU-BV-CA-MS008-CS,CS,0.063691093,0.0824778601527214,0.12967455387115479
BU-BV-CA-MS008-CS,CD,0.89097395,0.6720709204673767,0.1062486544251442
BU-BV-CH-CS,BU,0.764053753,0.7155442833900452,0.16199365258216858
BU-BV-CH-CS,BV,0.384136929,0.3210254907608032,0.1463472545146942
BU-BV-CH-CS,CS,0.083012964,0.168611079454422,0.12666146457195282
BU-BV-CH-CS,CH,0.086463024,0.18847982585430145,0.10498670488595963
BU-BV-CH-CS,BU,0.737834965,0.5853620171546936,0.16757585108280182
BU-BV-CH-CS,BV,0.031271091,0.25230908393859863,0.1557430624961853
BU-BV-CH-CS,CS,0.222452274,0.4160741865634918,0.13277249038219452
BU-BV-CH-CS,CH,0.40494164,0.1880638301372528,0.10548218339681625
CA-MS008-CH-CS-DP,CA,0.000983488,0.009327897801995277,0.047461532056331635
CA-MS008-CH-CS-DP,CS,0.009225315,0.1126115620136261,0.12514126300811768
CA-MS008-CH-CS-DP,CD,0.123385993,0.27571699023246765,0.10771768540143967
CA-MS008-CH-CS-DP,DP,0.080938528,0.06690394133329391,0.13741199672222137
CA-MS008-CH-CS-DP,CH,0.009633351,0.14039519429206848,0.10453472286462784
CA-MS008-CH-CS-DP,CA,0.004789849,0.00748862512409687,0.04789629206061363
CA-MS008-CH-CS-DP,CS,0.034821971,0.12521423399448395,0.1284366250038147
CA-MS008-CH-CS-DP,CD,0.25388498,0.44600293040275574,0.11021411418914795
CA-MS008-CH-CS-DP,DP,0.15256947,0.16697292029857635,0.14566545188426971
CA-MS008-CH-CS-DP,CH,0.007267063,0.09997829794883728,0.10518714785575867
MS008-BU_0,BU,0.512974141,0.6061007976531982,0.16245625913143158
MS008-BU_0,CD,0.770692505,0.522094190120697,0.10750682651996613
MS008-BU_0,BU,0.334730204,0.6305819749832153,0.1639668196439743
MS008-BU_0,CD,0.713769844,0.5419684648513794,0.1080612763762474
BT-BV-MS008-CH-CS-CA-DP_0,CA,0.024903187,0.010789082385599613,0.0451367162168026
BT-BV-MS008-CH-CS-CA-DP_0,BT,1.001764805,1.0136533975601196,0.21145226061344147
BT-BV-MS008-CH-CS-CA-DP_0,BV,0.123252584,0.1313052922487259,0.1514386534690857
BT-BV-MS008-CH-CS-CA-DP_0,CS,0.023214608,0.04464046657085419,0.11836643517017365
BT-BV-MS008-CH-CS-CA-DP_0,CD,0.551372173,0.4068549573421478,0.12838463485240936
BT-BV-MS008-CH-CS-CA-DP_0,DP,0.049695411,0.01659349352121353,0.13583239912986755
BT-BV-MS008-CH-CS-CA-DP_0,CH,0.09863051,0.07484429329633713,0.0983998104929924
BT-BV-MS008-CH-CS-CA-DP_0,CA,0.064289051,0.016447801142930984,0.0457286536693573
BT-BV-MS008-CH-CS-CA-DP_0,BT,1.014694372,0.9552403688430786,0.2130500078201294
BT-BV-MS008-CH-CS-CA-DP_0,BV,0.045698535,0.0034149179700762033,0.14930479228496552
BT-BV-MS008-CH-CS-CA-DP_0,CS,0.045747008,0.021234331652522087,0.11873891949653625
BT-BV-MS008-CH-CS-CA-DP_0,CD,0.719334107,0.5453478693962097,0.13096311688423157
BT-BV-MS008-CH-CS-CA-DP_0,DP,0.05434563,0.010538152419030666,0.13610000908374786
BT-BV-MS008-CH-CS-CA-DP_0,CH,0.110891271,0.042930927127599716,0.09918415546417236
BU-BV-CA-CS,CA,0.004040299,0.0527629517018795,0.04669976979494095
BU-BV-CA-CS,BU,0.223044573,0.45147716999053955,0.1692069172859192
BU-BV-CA-CS,BV,0.960231878,0.7688568234443665,0.15813115239143372
BU-BV-CA-CS,CS,0.220183258,0.21615546941757202,0.12243062257766724
