Treatments,species,true,pred,stdv
BT-BU-CA-CH-CS,CA,0.001343611,0.0002677977900020778,0.04248710721731186
BT-BU-CA-CH-CS,BT,1.270747779,1.0679908990859985,0.20794667303562164
BT-BU-CA-CH-CS,BU,0.461787571,0.4163208603858948,0.16463550925254822
BT-BU-CA-CH-CS,CS,0.047855163,0.1054554283618927,0.12260746210813522
BT-BU-CA-CH-CS,CH,0.087265923,0.15399287641048431,0.10714656859636307
BT-BU-CA-CH-CS,CA,0.001950231,1.3037406461080536e-06,0.04248639568686485
BT-BU-CA-CH-CS,BT,0.977195438,1.251397728919983,0.21540120244026184
BT-BU-CA-CH-CS,BU,0.185898014,0.2668701112270355,0.17029526829719543
BT-BU-CA-CH-CS,CS,0.048784681,0.24979892373085022,0.12883536517620087
BT-BU-CA-CH-CS,CH,0.089504928,0.192807137966156,0.10861490666866302
BT-BV-MS008-BU-CS-CA-DP_0,CA,0.019695779,0.0017249048687517643,0.04249422624707222
BT-BV-MS008-BU-CS-CA-DP_0,BT,0.620965878,0.7535423040390015,0.2097114771604538
BT-BV-MS008-BU-CS-CA-DP_0,BU,0.317193346,0.17271529138088226,0.161958709359169
BT-BV-MS008-BU-CS-CA-DP_0,BV,0.051688696,0.13941211998462677,0.1335330456495285
BT-BV-MS008-BU-CS-CA-DP_0,CS,0.064475921,0.041160620748996735,0.12148064374923706
BT-BV-MS008-BU-CS-CA-DP_0,CD,0.716357402,0.6133072376251221,0.1290440708398819
BT-BV-MS008-BU-CS-CA-DP_0,DP,0.020789637,0.014470879919826984,0.13438056409358978
BT-BV-MS008-BU-CS-CA-DP_0,CA,0.111149266,9.092846448766068e-05,0.04248661547899246
BT-BV-MS008-BU-CS-CA-DP_0,BT,0.533461481,0.7905761003494263,0.21125245094299316
BT-BV-MS008-BU-CS-CA-DP_0,BU,0.191836029,0.17437730729579926,0.16639180481433868
BT-BV-MS008-BU-CS-CA-DP_0,BV,0.083184839,0.005872697569429874,0.13062220811843872
BT-BV-MS008-BU-CS-CA-DP_0,CS,0.097406524,0.021554898470640182,0.12193824350833893
BT-BV-MS008-BU-CS-CA-DP_0,CD,0.806973356,0.6117871403694153,0.12473234534263611
BT-BV-MS008-BU-CS-CA-DP_0,DP,0.023821858,0.009988893754780293,0.13461120426654816
BT-BV-MS008-CH-CS-CA-DP_0,CA,0.024903187,0.005405726842582226,0.04251159727573395
BT-BV-MS008-CH-CS-CA-DP_0,BT,1.001764805,1.0798612833023071,0.20801706612110138
BT-BV-MS008-CH-CS-CA-DP_0,BV,0.123252584,0.07486848533153534,0.13185076415538788
BT-BV-MS008-CH-CS-CA-DP_0,CS,0.023214608,0.034975506365299225,0.12133346498012543
BT-BV-MS008-CH-CS-CA-DP_0,CD,0.551372173,0.37096109986305237,0.12875252962112427
BT-BV-MS008-CH-CS-CA-DP_0,DP,0.049695411,0.020564427599310875,0.13442297279834747
BT-BV-MS008-CH-CS-CA-DP_0,CH,0.09863051,0.10989968478679657,0.10686250776052475
BT-BV-MS008-CH-CS-CA-DP_0,CA,0.064289051,0.003818818600848317,0.04257727414369583
BT-BV-MS008-CH-CS-CA-DP_0,BT,1.014694372,0.9812158942222595,0.2084234356880188
BT-BV-MS008-CH-CS-CA-DP_0,BV,0.045698535,0.0016429469687864184,0.1305287629365921
BT-BV-MS008-CH-CS-CA-DP_0,CS,0.045747008,0.01660867966711521,0.12158576399087906
BT-BV-MS008-CH-CS-CA-DP_0,CD,0.719334107,0.5412449240684509,0.12826605141162872
BT-BV-MS008-CH-CS-CA-DP_0,DP,0.05434563,0.010963036678731441,0.13461090624332428
BT-BV-MS008-CH-CS-CA-DP_0,CH,0.110891271,0.05689951404929161,0.10825970023870468
BU-BV-CA-CH,CA,0.004616788,0.00022861275647301227,0.042487259954214096
BU-BV-CA-CH,BU,1.017512405,0.7233856320381165,0.16533376276493073
BU-BV-CA-CH,BV,0.418207935,0.3891333341598511,0.13957491517066956
BU-BV-CA-CH,CH,0.060829494,0.14820463955402374,0.10757055133581161
BU-BV-CA-CH,CA,0.029296744,9.41776523433191e-09,0.04248639568686485
BU-BV-CA-CH,BU,1.073693261,0.7468739748001099,0.17091424763202667
BU-BV-CA-CH,BV,0.056462061,0.43423834443092346,0.1594817042350769
BU-BV-CA-CH,CH,0.355881239,0.14416493475437164,0.10796476155519485
BV-CA-MS008-CH,CA,0.00540144,0.020768677815794945,0.04272842779755592
BV-CA-MS008-CH,BV,0.402661676,0.3241335451602936,0.13568644225597382
BV-CA-MS008-CH,CD,0.265441009,0.48772868514060974,0.128971666097641
BV-CA-MS008-CH,CH,0.07332921,0.11006806045770645,0.10708674788475037
BV-CA-MS008-CH,CA,0.189032764,0.06820526719093323,0.04745030403137207
BV-CA-MS008-CH,BV,0.44960069,0.20470695197582245,0.13999149203300476
BV-CA-MS008-CH,CD,0.407677347,0.5750373005867004,0.12895339727401733
BV-CA-MS008-CH,CH,0.169855814,0.07327470183372498,0.10883767157793045
BT-BV-MS008-CH-BU-CS-DP_0,BT,0.664136366,0.80317622423172,0.20609095692634583
BT-BV-MS008-CH-BU-CS-DP_0,BU,0.429682312,0.28042566776275635,0.16112132370471954
BT-BV-MS008-CH-BU-CS-DP_0,BV,0.076122944,0.10436598211526871,0.16121020913124084
BT-BV-MS008-CH-BU-CS-DP_0,CS,0.022726068,0.04604533314704895,0.12540750205516815
BT-BV-MS008-CH-BU-CS-DP_0,CD,0.555583432,0.4520549178123474,0.12869001924991608
BT-BV-MS008-CH-BU-CS-DP_0,DP,0.034150354,0.02782551944255829,0.12562306225299835
BT-BV-MS008-CH-BU-CS-DP_0,CH,0.11809854,0.05693599581718445,0.09150764346122742
BT-BV-MS008-CH-BU-CS-DP_0,BT,0.683514544,0.7544830441474915,0.2102866768836975
BT-BV-MS008-CH-BU-CS-DP_0,BU,0.335286809,0.22008800506591797,0.16361071169376373
BT-BV-MS008-CH-BU-CS-DP_0,BV,0.025201036,0.004264421761035919,0.160159170627594
BT-BV-MS008-CH-BU-CS-DP_0,CS,0.052764147,0.021186362951993942,0.1256815493106842
BT-BV-MS008-CH-BU-CS-DP_0,CD,0.591663484,0.5823487639427185,0.1289949268102646
BT-BV-MS008-CH-BU-CS-DP_0,DP,0.032422959,0.04205036163330078,0.12795844674110413
BT-BV-MS008-CH-BU-CS-DP_0,CH,0.119147031,0.03200698643922806,0.09208942204713821
BU-BV-CA-CS,CA,0.004040299,0.04096100479364395,0.04685642570257187
BU-BV-CA-CS,BU,0.223044573,0.5130863785743713,0.1645769327878952
BU-BV-CA-CS,BV,0.960231878,0.6499330401420593,0.16968537867069244
BU-BV-CA-CS,CS,0.220183258,0.24209360778331757,0.12977668642997742
BU-BV-CA-CS,CA,0.108602031,0.2565123736858368,0.06150291487574577
