Comms,Richness,CD OD
CD+,1,0.6092105
CD+BV,2,0.41516864
CD+CH,2,0.48004898
CD+CH-BV,3,0.05629887
CD+DP,2,0.3601919
CD+DP-BV,3,0.2846695
CD+DP-CH,3,0.27261356
CD+DP-CH-BV,4,0.052517876
CD+CS,2,0.52444404
CD+CS-BV,3,0.22472273
CD+CS-CH,3,0.49676374
CD+CS-CH-BV,4,0.09164677
CD+CS-DP,3,0.32002023
CD+CS-DP-BV,4,0.19127826
CD+CS-DP-CH,4,0.28754833
CD+CS-DP-CH-BV,5,0.072032444
CD+BU,2,0.38631734
CD+BU-BV,3,0.35736877
CD+BU-CH,3,0.19634214
CD+BU-CH-BV,4,0.067289926
CD+BU-DP,3,0.19390178
CD+BU-DP-BV,4,0.21657819
CD+BU-DP-CH,4,0.096269175
CD+BU-DP-CH-BV,5,0.050018724
CD+BU-CS,3,0.33177137
CD+BU-CS-BV,4,0.25243267
CD+BU-CS-CH,4,0.23925428
CD+BU-CS-CH-BV,5,0.09668894
CD+BU-CS-DP,4,0.17080854
CD+BU-CS-DP-BV,5,0.1699702
CD+BU-CS-DP-CH,5,0.11574003
CD+BU-CS-DP-CH-BV,6,0.06555329
CD+BT,2,0.2803523
CD+BT-BV,3,0.25046274
CD+BT-CH,3,0.18565324
CD+BT-CH-BV,4,0.09197102
CD+BT-DP,3,0.14068641
CD+BT-DP-BV,4,0.1436797
CD+BT-DP-CH,4,0.092847474
CD+BT-DP-CH-BV,5,0.061121218
CD+BT-CS,3,0.22475632
CD+BT-CS-BV,4,0.18366286
CD+BT-CS-CH,4,0.1896883
CD+BT-CS-CH-BV,5,0.10420676
CD+BT-CS-DP,4,0.117868505
CD+BT-CS-DP-BV,5,0.111878075
CD+BT-CS-DP-CH,5,0.096659645
CD+BT-CS-DP-CH-BV,6,0.06607781
CD+BT-BU,3,0.2185561
CD+BT-BU-BV,4,0.21803814
CD+BT-BU-CH,4,0.110310905
CD+BT-BU-CH-BV,5,0.08087038
CD+BT-BU-DP,4,0.108098224
CD+BT-BU-DP-BV,5,0.12192087
CD+BT-BU-DP-CH,5,0.056499377
CD+BT-BU-DP-CH-BV,6,0.04969623
CD+BT-BU-CS,4,0.1811428
CD+BT-BU-CS-BV,5,0.17324983
CD+BT-BU-CS-CH,5,0.12297713
CD+BT-BU-CS-CH-BV,6,0.09258472
CD+BT-BU-CS-DP,5,0.093005165
CD+BT-BU-CS-DP-BV,6,0.10088646
CD+BT-BU-CS-DP-CH,6,0.06265366
CD+BT-BU-CS-DP-CH-BV,7,0.055463627
CD+CA,2,0.5824653
CD+CA-BV,3,0.3924431
CD+CA-CH,3,0.50964075
CD+CA-CH-BV,4,0.078378394
CD+CA-DP,3,0.31181538
CD+CA-DP-BV,4,0.25877553
CD+CA-DP-CH,4,0.27174398
CD+CA-DP-CH-BV,5,0.0654547
CD+CA-CS,3,0.52749956
CD+CA-CS-BV,4,0.24559312
CD+CA-CS-CH,4,0.5048932
CD+CA-CS-CH-BV,5,0.10775152
CD+CA-CS-DP,4,0.29258743
CD+CA-CS-DP-BV,5,0.18747935
CD+CA-CS-DP-CH,5,0.27833596
CD+CA-CS-DP-CH-BV,6,0.081014775
CD+CA-BU,3,0.36931506
CD+CA-BU-BV,4,0.34226567
CD+CA-BU-CH,4,0.22708894
CD+CA-BU-CH-BV,5,0.08466255
CD+CA-BU-DP,4,0.17643313
CD+CA-BU-DP-BV,5,0.20235671
CD+CA-BU-DP-CH,5,0.10669359
CD+CA-BU-DP-CH-BV,6,0.059034158
CD+CA-BU-CS,4,0.32933995
CD+CA-BU-CS-BV,5,0.25738668
CD+CA-BU-CS-CH,5,0.25220862
CD+CA-BU-CS-CH-BV,6,0.10932582
CD+CA-BU-CS-DP,5,0.16170907
CD+CA-BU-CS-DP-BV,6,0.16529658
CD+CA-BU-CS-DP-CH,6,0.120058805
CD+CA-BU-CS-DP-CH-BV,7,0.072054066
CD+CA-BT,3,0.2397719
CD+CA-BT-BV,4,0.22208832
CD+CA-BT-CH,4,0.17787445
CD+CA-BT-CH-BV,5,0.10110784
CD+CA-BT-DP,4,0.11464376
CD+CA-BT-DP-BV,5,0.12332345
CD+CA-BT-DP-CH,5,0.08627548
CD+CA-BT-DP-CH-BV,6,0.062721744
CD+CA-BT-CS,4,0.20435463
CD+CA-BT-CS-BV,5,0.17331855
CD+CA-BT-CS-CH,5,0.17764497
CD+CA-BT-CS-CH-BV,6,0.10702989
CD+CA-BT-CS-DP,5,0.10217964
CD+CA-BT-CS-DP-BV,6,0.10128344
CD+CA-BT-CS-DP-CH,6,0.08870611
CD+CA-BT-CS-DP-CH-BV,7,0.06543983
CD+CA-BT-BU,4,0.19558111
CD+CA-BT-BU-BV,5,0.19832456
CD+CA-BT-BU-CH,5,0.11465479
CD+CA-BT-BU-CH-BV,6,0.08752796
CD+CA-BT-BU-DP,5,0.09480814
CD+CA-BT-BU-DP-BV,6,0.109155186
CD+CA-BT-BU-DP-CH,6,0.0574497
CD+CA-BT-BU-DP-CH-BV,7,0.05199149
CD+CA-BT-BU-CS,5,0.1685474
CD+CA-BT-BU-CS-BV,6,0.16345732
CD+CA-BT-BU-CS-CH,6,0.12165467
CD+CA-BT-BU-CS-CH-BV,7,0.09492049
CD+CA-BT-BU-CS-DP,6,0.08477826
CD+CA-BT-BU-CS-DP-BV,7,0.09335018
CD+CA-BT-BU-CS-DP-CH,7,0.061578173
CD+CA-BT-BU-CS-DP-CH-BV,8,0.055953234
