Comms,Richness,CD OD
CD+,1,0.66206616
CD+BV,2,0.5571987
CD+CH,2,0.47876218
CD+CH-BV,3,0.07249191
CD+DP,2,0.39130378
CD+DP-BV,3,0.38178754
CD+DP-CH,3,0.22416915
CD+DP-CH-BV,4,0.059740055
CD+CS,2,0.4730838
CD+CS-BV,3,0.33984014
CD+CS-CH,3,0.36710784
CD+CS-CH-BV,4,0.056401376
CD+CS-DP,3,0.29705313
CD+CS-DP-BV,4,0.2637138
CD+CS-DP-CH,4,0.18491124
CD+CS-DP-CH-BV,5,0.049271885
CD+BU,2,0.4874176
CD+BU-BV,3,0.5209699
CD+BU-CH,3,0.28115013
CD+BU-CH-BV,4,0.14929849
CD+BU-DP,3,0.27103078
CD+BU-DP-BV,4,0.33360738
CD+BU-DP-CH,4,0.12935159
CD+BU-DP-CH-BV,5,0.094218574
CD+BU-CS,3,0.38307926
CD+BU-CS-BV,4,0.39045146
CD+BU-CS-CH,4,0.2339438
CD+BU-CS-CH-BV,5,0.11636715
CD+BU-CS-DP,4,0.21612857
CD+BU-CS-DP-BV,5,0.26211938
CD+BU-CS-DP-CH,5,0.11307577
CD+BU-CS-DP-CH-BV,6,0.07898008
CD+BT,2,0.31897408
CD+BT-BV,3,0.29552215
CD+BT-CH,3,0.13619378
CD+BT-CH-BV,4,0.060018722
CD+BT-DP,3,0.15814863
CD+BT-DP-BV,4,0.16963848
CD+BT-DP-CH,4,0.059270095
CD+BT-DP-CH-BV,5,0.038979862
CD+BT-CS,3,0.17268772
CD+BT-CS-BV,4,0.15973169
CD+BT-CS-CH,4,0.09015852
CD+BT-CS-CH-BV,5,0.042138103
CD+BT-CS-DP,4,0.09412999
CD+BT-CS-DP-BV,5,0.10125636
CD+BT-CS-DP-CH,5,0.043914266
CD+BT-CS-DP-CH-BV,6,0.029354168
CD+BT-BU,3,0.2504437
CD+BT-BU-BV,4,0.26753834
CD+BT-BU-CH,4,0.08458152
CD+BT-BU-CH-BV,5,0.07091726
CD+BT-BU-DP,4,0.12625852
CD+BT-BU-DP-BV,5,0.15176599
CD+BT-BU-DP-CH,5,0.041468292
CD+BT-BU-DP-CH-BV,6,0.04155024
CD+BT-BU-CS,4,0.15137511
CD+BT-BU-CS-BV,5,0.16801015
CD+BT-BU-CS-CH,5,0.06223339
CD+BT-BU-CS-CH-BV,6,0.052546304
CD+BT-BU-CS-DP,5,0.08101915
CD+BT-BU-CS-DP-BV,6,0.10022944
CD+BT-BU-CS-DP-CH,6,0.032724347
CD+BT-BU-CS-DP-CH-BV,7,0.03273372
CD+CA,2,0.6375284
CD+CA-BV,3,0.55005115
CD+CA-CH,3,0.5341483
CD+CA-CH-BV,4,0.13498832
CD+CA-DP,3,0.33809108
CD+CA-DP-BV,4,0.36753112
CD+CA-DP-CH,4,0.23461723
CD+CA-DP-CH-BV,5,0.09033311
CD+CA-CS,3,0.51501685
CD+CA-CS-BV,4,0.38615978
CD+CA-CS-CH,4,0.4336109
CD+CA-CS-CH-BV,5,0.097557545
CD+CA-CS-DP,4,0.27633446
CD+CA-CS-DP-BV,5,0.27426547
CD+CA-CS-DP-CH,5,0.1969183
CD+CA-CS-DP-CH-BV,6,0.07148608
CD+CA-BU,3,0.48747522
CD+CA-BU-BV,4,0.5215465
CD+CA-BU-CH,4,0.31169134
CD+CA-BU-CH-BV,5,0.18226637
CD+CA-BU-DP,4,0.27955365
CD+CA-BU-DP-BV,5,0.3426533
CD+CA-BU-DP-CH,5,0.15081233
CD+CA-BU-DP-CH-BV,6,0.11385535
CD+CA-BU-CS,4,0.40554577
CD+CA-BU-CS-BV,5,0.41394585
CD+CA-BU-CS-CH,5,0.26468563
CD+CA-BU-CS-CH-BV,6,0.14416043
CD+CA-BU-CS-DP,5,0.23253602
CD+CA-BU-CS-DP-BV,6,0.2794567
CD+CA-BU-CS-DP-CH,6,0.13211438
CD+CA-BU-CS-DP-CH-BV,7,0.09564248
CD+CA-BT,3,0.26390737
CD+CA-BT-BV,4,0.2650939
CD+CA-BT-CH,4,0.12196116
CD+CA-BT-CH-BV,5,0.07182348
CD+CA-BT-DP,4,0.12486428
CD+CA-BT-DP-BV,5,0.14760746
CD+CA-BT-DP-CH,5,0.052445907
CD+CA-BT-DP-CH-BV,6,0.04226392
CD+CA-BT-CS,4,0.15848584
CD+CA-BT-CS-BV,5,0.15856157
CD+CA-BT-CS-CH,5,0.08456445
CD+CA-BT-CS-CH-BV,6,0.050401237
CD+CA-BT-CS-DP,5,0.08038432
CD+CA-BT-CS-DP-BV,6,0.094583325
CD+CA-BT-CS-DP-CH,6,0.039955374
CD+CA-BT-CS-DP-CH-BV,7,0.03201878
CD+CA-BT-BU,4,0.2506805
CD+CA-BT-BU-BV,5,0.26694256
CD+CA-BT-BU-CH,5,0.09614026
CD+CA-BT-BU-CH-BV,6,0.08152004
CD+CA-BT-BU-DP,5,0.13243768
CD+CA-BT-BU-DP-BV,6,0.15640464
CD+CA-BT-BU-DP-CH,6,0.048517007
CD+CA-BT-BU-DP-CH-BV,7,0.04810612
CD+CA-BT-BU-CS,5,0.16594051
CD+CA-BT-BU-CS-BV,6,0.17971428
CD+CA-BT-BU-CS-CH,6,0.072458744
CD+CA-BT-BU-CS-CH-BV,7,0.06145848
CD+CA-BT-BU-CS-DP,6,0.09048542
CD+CA-BT-BU-CS-DP-BV,7,0.10859756
CD+CA-BT-BU-CS-DP-CH,7,0.038617108
CD+CA-BT-BU-CS-DP-CH-BV,8,0.038178757
